sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9,sensor10,sensor11,sensor12,label
0.533663,0.6437023,0.7239776,0.6393748,0.5065488,0.6047672,0.6202704,0.5570196,0.474355,0.3890745,0.3812953,0.3599899,0
0.533663,0.6437023,0.667727,0.6393748,0.5065488,0.6047672,0.6202704,0.5570196,0.4157211,0.3890745,0.3812953,0.3599899,0
0.533663,0.6437023,0.7239776,0.6393748,0.5065488,0.6047672,0.6058673,0.5570196,0.474355,0.3890745,0.3812953,0.3599899,0
0.533663,0.6437023,0.7239776,0.6393748,0.5065488,0.6047672,0.6202704,0.5570196,0.474355,0.3890745,0.3812953,0.3599899,0
0.533663,0.6437023,0.7239776,0.6393748,0.5065488,0.6047672,0.5569292,0.5570196,0.474355,0.3890745,0.3812953,0.3599899,0
0.533663,0.6437023,0.7239776,0.6393748,0.5065488,0.5567533,0.6202704,0.5570196,0.4683676,0.3890745,0.3812953,0.3610584,0
0.533663,0.6437023,0.7239776,0.6393748,0.5065488,0.6047672,0.5276794,0.5570196,0.474355,0.3890745,0.3812953,0.3599899,0
0.533663,0.6437023,0.7239776,0.6393748,0.5065488,0.6047672,0.6202704,0.5570196,0.474355,0.3890745,0.3812953,0.3599899,0
0.533663,0.6437023,0.6675205,0.6393748,0.5065488,0.6047672,0.6083519,0.5570196,0.474355,0.3890745,0.3812953,0.3599899,0
0.533663,0.6437023,0.7239776,0.6393748,0.5065488,0.6047672,0.5276794,0.5570196,0.474355,0.3890745,0.3812953,0.3599899,0
0.533663,0.6437023,0.7239776,0.6393748,0.5065488,0.6047672,0.6202704,0.5570196,0.474355,0.5174513,0.5119106,0.4959593,1
0.533663,0.6437023,0.7239776,0.6393748,0.5065488,0.6047672,0.6202704,0.5570196,0.474355,0.4642288,0.5119106,0.4959593,1
0.533663,0.6437023,0.7239776,0.6393748,0.5065488,0.6047672,0.6202704,0.5570196,0.474355,0.5174513,0.5119106,0.4959593,1
0.533663,0.6437023,0.7239776,0.6393748,0.5065488,0.6047672,0.6202704,0.5570196,0.474355,0.5174513,0.5119106,0.4959593,1
0.533663,0.6437023,0.7239776,0.6393748,0.5065488,0.6047672,0.6202704,0.5570196,0.474355,0.3981447,0.5119106,0.4959593,1
0.533663,0.6437023,0.7239776,0.6393748,0.5065488,0.6047672,0.6202704,0.5570196,0.474355,0.5174006,0.5119106,0.4959593,1
0.533663,0.6437023,0.7239776,0.6393748,0.5065488,0.6047672,0.6202704,0.5570196,0.474355,0.5174513,0.4519338,0.4959593,1
0.533663,0.6437023,0.7239776,0.6393748,0.5065488,0.6047672,0.5296014,0.5570196,0.474355,0.5174513,0.5119106,0.4959593,1
0.533663,0.6437023,0.7239776,0.6393748,0.5065488,0.6047672,0.6202704,0.5570196,0.474355,0.5174513,0.5119106,0.4959593,1
0.533663,0.6437023,0.7239776,0.6393748,0.5065488,0.6047672,0.6202704,0.5570196,0.474355,0.5174513,0.5119106,0.4959593,1
0.533663,0.6437023,0.7239776,0.6393748,0.5065488,0.5067681,0.6202704,0.5570196,0.3309085,0.3890745,0.3812953,0.4959593,2
0.533663,0.6437023,0.7239776,0.6393748,0.4978913,0.5067681,0.6202704,0.5570196,0.3309085,0.3890745,0.3812953,0.4363727,2
0.533663,0.6437023,0.7239776,0.6393748,0.3744311,0.5067681,0.6202704,0.5570196,0.3309085,0.3890745,0.3812953,0.4959593,2
0.533663,0.6437023,0.7239776,0.6393748,0.4228451,0.5075332,0.6202704,0.5570196,0.3337351,0.3890745,0.3812953,0.4959593,2
0.533663,0.6437023,0.7239776,0.6393748,0.4228451,0.5067681,0.6202704,0.5570196,0.3309085,0.3890745,0.3812953,0.4959593,2
0.533663,0.6437023,0.7239776,0.6393748,0.5065488,0.5067681,0.6202704,0.5570196,0.3309085,0.3890745,0.4454697,0.4177935,2
0.533663,0.6437023,0.7239776,0.6393748,0.5065488,0.5067681,0.6202704,0.5570196,0.3309085,0.3890745,0.3812953,0.4959593,2
0.533663,0.6437023,0.7239776,0.6393748,0.3744311,0.5067681,0.5436358,0.5570196,0.3309085,0.3890745,0.3812953,0.4177935,2
0.533663,0.6437023,0.7239776,0.6393748,0.5065488,0.5067681,0.6202704,0.5570196,0.3309085,0.3890745,0.3812953,0.4959593,2
0.533663,0.6437023,0.7239776,0.6393748,0.5065488,0.5067681,0.5296014,0.5570196,0.3337351,0.3890745,0.3812953,0.3654931,2
0.533663,0.6437023,0.7239776,0.6393748,0.5065488,0.6047672,0.5276794,0.4420727,0.474355,0.3890745,0.3812953,0.3599899,3
0.533663,0.6437023,0.7239776,0.6393748,0.5065488,0.6047672,0.5276794,0.4420727,0.474355,0.3890745,0.3812953,0.3599899,3
0.533663,0.6437023,0.7239776,0.6393748,0.5065488,0.6047672,0.5276794,0.5570196,0.474355,0.3890745,0.3812953,0.3599899,3
0.533663,0.6437023,0.7239776,0.6393748,0.5065488,0.6047672,0.5276794,0.4420727,0.474355,0.3890745,0.3812953,0.3599899,3
0.533663,0.6437023,0.7239776,0.6393748,0.5065488,0.6047672,0.5276794,0.5570196,0.474355,0.3890745,0.3812953,0.3599899,3
0.533663,0.6437023,0.7239776,0.6393748,0.5065488,0.6047672,0.5276794,0.4421395,0.474355,0.3890745,0.3812953,0.3599899,3
0.533663,0.6437023,0.7239776,0.6393748,0.5065488,0.6047672,0.5276794,0.4915312,0.474355,0.3890745,0.3812953,0.3599899,3
0.533663,0.6437023,0.7239776,0.6393748,0.5065488,0.6047672,0.5276794,0.5570196,0.474355,0.3890745,0.3812953,0.3599899,3
0.533663,0.6437023,0.7239776,0.6393748,0.5065488,0.6047672,0.5276794,0.5570196,0.474355,0.3890745,0.3812953,0.3599899,3
0.533663,0.6437023,0.7239776,0.6393748,0.5065488,0.6047672,0.5276794,0.4420727,0.474355,0.3890745,0.3812953,0.3599899,3
0.533663,0.6437023,0.6675205,0.6393748,0.4942639,0.5067681,0.5276794,0.5570196,0.474355,0.3890745,0.3812953,0.3599899,4
0.533663,0.6437023,0.6675205,0.6393748,0.5065488,0.5067681,0.5276794,0.5570196,0.474355,0.3890745,0.3812953,0.3599899,4
0.533663,0.6437023,0.6675205,0.6393748,0.3780205,0.5067681,0.5276794,0.5570196,0.474355,0.3890745,0.3812953,0.3599899,4
0.4689038,0.6437023,0.6675205,0.6393748,0.5065488,0.5067681,0.5276794,0.5570196,0.474355,0.3890745,0.3812953,0.3599899,4
0.4213478,0.6437023,0.6675205,0.6393748,0.5065488,0.5067681,0.5276794,0.5570196,0.474355,0.3890745,0.3812953,0.3599899,4
0.5272651,0.6437023,0.6675205,0.6393748,0.5065488,0.5067681,0.5276794,0.5570196,0.474355,0.3890745,0.3812953,0.3599899,4
0.5326838,0.6437023,0.6675205,0.6393748,0.5065488,0.5067681,0.5276794,0.5570196,0.474355,0.3890745,0.3812953,0.3599899,4
0.533663,0.6437023,0.6675205,0.6393748,0.5065488,0.5067681,0.5276794,0.5570196,0.3337351,0.3890745,0.3812953,0.3599899,4
0.4417628,0.6437023,0.6675205,0.6393748,0.5065488,0.5067681,0.5276794,0.5570196,0.474355,0.3890745,0.3812953,0.3599899,4
0.5335608,0.6437023,0.6675205,0.6393748,0.5065488,0.5067681,0.5276794,0.5570196,0.474355,0.3890745,0.3812953,0.3599899,4
0.533663,0.6437023,0.6675205,0.6393748,0.5065488,0.5067681,0.5276794,0.5570196,0.3719733,0.3890745,0.3816209,0.4959593,5
0.533663,0.6437023,0.6675205,0.6393748,0.5065488,0.5067681,0.5276794,0.4420727,0.4582905,0.3890745,0.3820837,0.4959593,5
0.533663,0.6437023,0.6675205,0.6393748,0.5065488,0.5067681,0.5276794,0.4420727,0.4533166,0.3890745,0.3825598,0.4959593,5
0.533663,0.6437023,0.6675205,0.6393748,0.5065488,0.5067681,0.5276794,0.4529828,0.4598658,0.3890745,0.3825598,0.4959593,5
0.533663,0.6437023,0.6675205,0.6393748,0.5065488,0.5067681,0.5276794,0.4429686,0.474355,0.3890745,0.3816209,0.4959593,5
0.533663,0.6437023,0.6675205,0.6393748,0.5065488,0.5067681,0.5276794,0.5570196,0.474355,0.3890745,0.3820837,0.4959593,5
0.533663,0.6437023,0.6675205,0.6393748,0.5065488,0.5067681,0.5276794,0.4685508,0.474355,0.3890745,0.3825598,0.4959593,5
0.533663,0.6437023,0.6675205,0.6393748,0.5065488,0.5067681,0.5276794,0.5040573,0.474355,0.3890745,0.3816209,0.4959593,5
0.533663,0.6437023,0.6675205,0.6393748,0.5065488,0.5067681,0.5276794,0.5078722,0.474355,0.3890745,0.3825598,0.4959593,5
0.533663,0.6437023,0.6675205,0.6393748,0.5065488,0.5067681,0.5276794,0.5570196,0.472627,0.3890745,0.3816209,0.4959593,5
