sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9,sensor10,sensor11,sensor12,sensor13,sensor14,sensor15,sensor16,sensor17,sensor18,sensor19,sensor20,time
0.6285489,0.6563773,0.6530342,0.6204446,0.598058,0.6195737,0.6169727,0.5908623,0.5663875,0.4782891,0.5818953,0.5609069,0.5311452,0.4314145,0.5484444,0.5316289,0.4410505,0.3899824,0.5174513,0.5008132,0.3733333
0.6285489,0.6563773,0.6530342,0.6204446,0.598058,0.6195737,0.6169727,0.5908623,0.5663875,0.5066759,0.5818953,0.5609069,0.5354761,0.4314145,0.5484444,0.5316289,0.3976405,0.3899824,0.5174513,0.5008132,0.5736144
0.6285489,0.6563773,0.6530342,0.6204446,0.598058,0.6195737,0.6169727,0.5908623,0.5663875,0.5066759,0.5818953,0.5609069,0.5354761,0.4314145,0.5484444,0.5316289,0.3976405,0.3899824,0.5174513,0.5008132,0.7742149
0.6285489,0.6563773,0.6530342,0.6204446,0.598058,0.6195737,0.6169727,0.5908623,0.5663875,0.5066759,0.5818953,0.5609069,0.5354761,0.4314145,0.5484444,0.5316289,0.3976405,0.3899824,0.5174513,0.5008132,0.9748511
0.6285489,0.6563773,0.6530342,0.6204446,0.598058,0.6195737,0.6169727,0.5908623,0.5663875,0.5066759,0.5818953,0.5609069,0.5354761,0.4314145,0.5484444,0.5316289,0.3976405,0.3899824,0.5174513,0.5008132,1.174964
0.6285489,0.6563773,0.6530342,0.6204446,0.598058,0.6195737,0.6169727,0.5908623,0.5663875,0.5152501,0.5818953,0.5609069,0.5311452,0.4314145,0.5484444,0.5316289,0.3976405,0.3899824,0.5174513,0.5008132,1.375013
0.6285489,0.6563773,0.6530342,0.6204446,0.598058,0.6195737,0.6169727,0.5908623,0.5663875,0.5152501,0.5818953,0.5609069,0.5311452,0.4314145,0.5484444,0.5316289,0.3976405,0.3899824,0.5174513,0.5008132,1.575353
0.6285489,0.6563773,0.6530342,0.6204446,0.598058,0.6195737,0.6169727,0.5908623,0.5663875,0.5278025,0.5818953,0.5609069,0.5354761,0.4314145,0.5484444,0.5316289,0.3976405,0.3899824,0.5174513,0.5008132,1.77535
0.6285489,0.6563773,0.6530342,0.6204446,0.598058,0.6195737,0.6169727,0.5908623,0.5663875,0.5152501,0.5818953,0.5609069,0.5355973,0.4314145,0.5484444,0.5316289,0.4178352,0.3899824,0.5174513,0.5008132,1.975665
0.6285489,0.6563773,0.6530342,0.6204446,0.598058,0.6195737,0.6169727,0.5908623,0.5663875,0.548076,0.5818953,0.5609069,0.5356041,0.4314145,0.5484444,0.5316289,0.4613297,0.3899824,0.5042118,0.5008132,2.175665
0.6285489,0.6563773,0.6530342,0.6204446,0.598058,0.6195737,0.6169727,0.5908623,0.5663875,0.5837117,0.5818953,0.5609069,0.5356041,0.4314145,0.5484444,0.5316289,0.4763174,0.3899824,0.4792082,0.5008132,2.375857
0.6285489,0.6563773,0.6530342,0.6204446,0.598058,0.6195737,0.6169727,0.5908623,0.5663875,0.5837117,0.5818953,0.5609069,0.5356158,0.4314145,0.5172601,0.5316289,0.5069434,0.3899824,0.4034017,0.5008132,2.575868
0.6285489,0.6563773,0.6530342,0.6204446,0.598058,0.6195737,0.6169727,0.5908623,0.5663875,0.5837117,0.5818953,0.5609069,0.5356158,0.4314145,0.4335128,0.5316289,0.5069434,0.3899824,0.3890781,0.5008132,2.775902
0.6285489,0.6563773,0.6530342,0.6204446,0.598058,0.6195737,0.6169727,0.5908623,0.5663875,0.5837117,0.5818953,0.5609069,0.5356158,0.4314912,0.4308129,0.5316289,0.5069434,0.3899824,0.3890781,0.5008132,2.975914
0.6285489,0.6563773,0.6530342,0.6204446,0.598058,0.6195737,0.6169727,0.5908623,0.5663875,0.5837117,0.5818953,0.5609069,0.5356158,0.4397415,0.4308129,0.5316289,0.5069434,0.3899824,0.3890781,0.5008132,3.175914
0.6285489,0.6563773,0.6530342,0.6204446,0.598058,0.6195737,0.6169727,0.5908623,0.5663875,0.5837117,0.5818953,0.5609069,0.5356158,0.4397415,0.4308129,0.5316289,0.5069434,0.3899824,0.3890781,0.5008132,3.375919
0.6285489,0.6563773,0.6530342,0.6204446,0.598058,0.6195737,0.6169727,0.5908623,0.5663875,0.5837117,0.5818953,0.5609069,0.5356158,0.4317567,0.4308129,0.4851909,0.5069434,0.3899824,0.3890781,0.3711687,3.576229
0.6285489,0.6563773,0.6530342,0.6204446,0.598058,0.6195737,0.6169727,0.5162602,0.5663875,0.5837117,0.4765419,0.5609069,0.5356158,0.4314145,0.4418783,0.5316289,0.3933454,0.3899824,0.3890781,0.5008132,3.776226
0.6285489,0.6563773,0.5746809,0.6204446,0.598058,0.5336189,0.5584741,0.5908623,0.5663875,0.5837117,0.5818953,0.5609069,0.4134873,0.4314912,0.5012471,0.5316289,0.407189,0.3899824,0.3890781,0.5008132,3.976388
0.6285489,0.6446145,0.6530342,0.6204446,0.508882,0.6195737,0.6169727,0.5908623,0.5663875,0.5837117,0.5818953,0.5609069,0.5355497,0.4314145,0.5189635,0.5316289,0.5069434,0.3899824,0.3890781,0.5008132,4.176386
0.6285489,0.6563773,0.6530342,0.6204446,0.598058,0.6195737,0.6169727,0.5908623,0.5663875,0.5837117,0.5818953,0.5609069,0.5356158,0.4314145,0.548052,0.5316289,0.5069434,0.3899824,0.3890781,0.5008132,4.37639
