sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9,sensor10,sensor11,sensor12,label
0,0.3941039,0.6835474,0.6689595,0.5250036,0.402068,0.450694,0.4696589,0.4389589,0.5658129,0.50318,0.5469954,0
0,0.3941039,0.6835474,0.6689595,0.5250036,0.402068,0.450694,0.4696589,0.4389589,0.5658129,0.50318,0.5469954,0
0,0.3941039,0.6835474,0.6689595,0.5250036,0.402068,0.450694,0.4696589,0.4389589,0.5658129,0.50318,0.5469954,0
0,0.3941039,0.6835474,0.6689595,0.5250036,0.402068,0.450694,0.4696589,0.2827404,0.5658129,0.50318,0.5469954,0
0,0.3941039,0.6835474,0.6689595,0.5250036,0.402068,0.450694,0.4696589,0.4389589,0.5658129,0.50318,0.5469954,0
0,0.3941039,0.6835474,0.6689595,0.5250036,0.402068,0.450694,0.4696589,0.4179146,0.5658129,0.50318,0.5469954,0
0,0.3941039,0.6835474,0.6689595,0.5250036,0.402068,0.450694,0.4696589,0.3083573,0.5658129,0.50318,0.5469954,0
0,0.3941039,0.6835474,0.6689595,0.5250036,0.402068,0.450694,0.4696589,0.4389589,0.5658129,0.50318,0.5469954,0
0,0.3941039,0.6835474,0.6551291,0.5250036,0.402068,0.450694,0.4696589,0.4389589,0.5658129,0.50318,0.5469954,0
0,0.3941039,0.6835474,0.6689595,0.5250036,0.402068,0.450694,0.4696589,0.4389589,0.5658129,0.50318,0.5469954,0
0,0.3941039,0.6835474,0.6689595,0.5250036,0.402068,0.5632611,0.4722861,0.4389589,0.5658129,0.50318,0.5469954,1
0,0.3941039,0.6835474,0.6689595,0.5250036,0.402068,0.5632611,0.4923702,0.4389589,0.5695142,0.50318,0.5469954,1
0,0.3941039,0.6835474,0.6689595,0.5250036,0.402068,0.5632611,0.4696589,0.4389589,0.6486689,0.50318,0.5469954,1
0,0.3941039,0.6835474,0.6689595,0.5250036,0.402068,0.5632611,0.5210111,0.4389589,0.5658129,0.50318,0.5469954,1
0,0.3941039,0.6835474,0.6689595,0.5250036,0.402068,0.5632611,0.4938835,0.4389589,0.5658129,0.50318,0.5469954,1
0,0.3941039,0.6835474,0.6689595,0.5250036,0.402068,0.5632611,0.4923702,0.4389589,0.5658129,0.50318,0.5469954,1
0,0.3941039,0.6835474,0.6689595,0.5250036,0.402068,0.5632611,0.4696589,0.4389589,0.6486689,0.50318,0.5469954,1
0,0.3941039,0.6835474,0.6689595,0.5250036,0.402068,0.5288839,0.4696589,0.4017678,0.639407,0.50318,0.5469954,1
0,0.3941039,0.6835474,0.6689595,0.5250036,0.402068,0.5632611,0.4696589,0.4389589,0.5695142,0.50318,0.5469954,1
0,0.3941039,0.6835474,0.6689595,0.5250036,0.402068,0.5632611,0.469681,0.4389589,0.6486689,0.50318,0.5469954,1
0,0.3941039,0.6128876,0.6689595,0.5250036,0.402068,0.450694,0.4696589,0.4389589,0.5658129,0.3724468,0.5469954,2
0,0.3941039,0.6128876,0.6689595,0.5250036,0.402068,0.450694,0.4696589,0.4102566,0.5658129,0.4066905,0.5469954,2
0,0.3941039,0.6128876,0.6689595,0.5250036,0.402068,0.450694,0.4696589,0.4389589,0.5658129,0.50318,0.5469954,2
0,0.3941039,0.6128876,0.6689595,0.5250036,0.402068,0.450694,0.4696589,0.4389589,0.5658129,0.4655711,0.5469954,2
0,0.3941039,0.6128876,0.6689595,0.5250036,0.402068,0.450694,0.4696589,0.4017678,0.5658129,0.5026576,0.5469954,2
0,0.3941039,0.6128876,0.6689595,0.5250036,0.402068,0.450694,0.4696589,0.3370742,0.5658129,0.4070958,0.5469954,2
0,0.3941039,0.6128876,0.6689595,0.5250036,0.402068,0.450694,0.4696589,0.4389589,0.5658129,0.3724468,0.5469954,2
0,0.3941039,0.6128876,0.6689595,0.5250036,0.402068,0.450694,0.4696589,0.4389589,0.5658129,0.50318,0.5469954,2
0,0.3941039,0.6128876,0.6689595,0.5250036,0.402068,0.450694,0.4696589,0.4389589,0.5658129,0.3724468,0.5469954,2
0,0.3941039,0.6128876,0.6689595,0.5250036,0.402068,0.450694,0.4696589,0.4389589,0.5658129,0.50318,0.5469954,2
0,0.3941039,0.6835474,0.5932816,0.5250036,0.402068,0.465817,0.4696589,0.4389589,0.5658129,0.50318,0.4286866,3
0,0.3941039,0.6835474,0.5932816,0.5120839,0.402068,0.450694,0.4696589,0.4389589,0.5658129,0.50318,0.4286866,3
0,0.3941039,0.6835474,0.5932816,0.5250036,0.402068,0.5632611,0.4696589,0.4389589,0.5658129,0.50318,0.4286866,3
0,0.3941039,0.6835474,0.5932816,0.4259805,0.402068,0.450694,0.4696589,0.4389589,0.5658129,0.50318,0.4315529,3
