gen,nevals,avg1,avg2,std1,std2,min1,min2,max1,max2
0,20,500.59580000000005,-495.85,2179.083374355984,2180.172522416517,0.35,-9999.0,9999.0,7.0
1,12,1000.5799999999999,-995.4,2999.473338744671,3001.2004498200386,0.167,-9999.0,9999.0,7.0
2,13,500.69905,-495.3,2179.0596910992704,2180.2988350223923,0.167,-9999.0,9999.0,7.0
3,8,1500.5448500000002,-1495.85,3570.065248827425,3572.037671623859,0.533,-9999.0,9999.0,7.0
4,7,2000.4498000000008,-1996.35,3999.2751025618577,4001.3251464358646,0.333,-9999.0,9999.0,5.0
5,15,2000.2856500000005,-1997.5,3999.357180303584,4000.750223395607,0.283,-9999.0,9999.0,5.0
6,9,1500.4673500000004,-1496.7,3570.0978090410385,3571.6806002216936,0.167,-9999.0,9999.0,5.0
7,12,1500.5340000000003,-1496.25,3570.069807610237,3571.869634729129,0.467,-9999.0,9999.0,6.0
8,8,2500.3573500000007,-2496.35,4329.343354877011,4331.657157197461,0.333,-9999.0,9999.0,6.0
9,8,5499.7966,-5497.65,4974.056512518132,4976.429777209762,0.333,-9999.0,9999.0,6.0
10,18,5999.6266,-5998.4,4898.212062157788,4899.7144141266035,0.333,-9999.0,9999.0,5.0
11,8,7999.286599999999,-7998.85,3999.426800750108,4000.300042184336,0.333,-9999.0,9999.0,4.0
12,16,9499.066649999999,-9499.0,2179.15895115575,2179.449471770337,0.333,-9999.0,9999.0,1.0
13,9,9499.066649999999,-9499.0,2179.15895115575,2179.449471770337,0.333,-9999.0,9999.0,1.0
14,14,9499.066649999999,-9499.0,2179.15895115575,2179.449471770337,0.333,-9999.0,9999.0,1.0
15,10,9499.06415,-9499.0,2179.169848403109,2179.449471770337,0.283,-9999.0,9999.0,1.0
16,14,9999.0,-9999.0,0.0,0.0,9999.0,-9999.0,9999.0,-9999.0
17,15,8999.124999999998,-8999.0,2999.62500011483,3000.0,0.167,-9999.0,9999.0,1.0
18,11,9499.0825,-9498.95,2179.0898626074954,2179.667416717514,0.65,-9999.0,9999.0,2.0
19,10,8999.125000000002,-8999.0,2999.6250001148314,3000.0,0.167,-9999.0,9999.0,1.0
20,10,9999.0,-9999.0,0.0,0.0,9999.0,-9999.0,9999.0,-9999.0
