gen,nevals,avg1,avg2,std1,std2,min1,min2,max1,max2
0,20,0.5291,4.5,0.13981913316853314,1.284523257866513,0.25,2.0,0.717,7.0
1,16,0.66315,5.3,0.06742868454893662,1.0049875621120892,0.483,4.0,0.733,7.0
2,7,0.6890000000000001,5.65,0.055118055118082675,1.388344337691482,0.483,3.0,0.733,7.0
3,15,0.7089,5.75,0.02387027440143909,1.4448183276799889,0.683,4.0,0.733,8.0
4,14,0.7172000000000002,6.5,0.038770607423665684,0.9219544457292888,0.567,4.0,0.733,8.0
5,11,0.7330000000000002,6.65,2.220446049250313e-16,0.5722761571129797,0.733,6.0,0.733,8.0
6,15,0.7230000000000001,6.1,0.03391164991562635,0.6244997998398398,0.583,5.0,0.733,7.0
7,16,0.7247000000000001,5.8,0.036178861231387596,0.6,0.567,5.0,0.733,7.0
8,7,0.7330000000000002,5.35,2.220446049250313e-16,0.5722761571129799,0.733,4.0,0.733,6.0
9,18,0.7255000000000001,5.0,0.03269174207655506,0.7745966692414834,0.583,3.0,0.733,6.0
10,13,0.7305000000000001,4.7,0.01089724735885167,0.6403124237432849,0.683,4.0,0.733,6.0
11,10,0.7330000000000002,4.3,2.220446049250313e-16,0.45825756949558405,0.733,4.0,0.733,5.0
12,14,0.7305000000000001,4.05,0.01089724735885167,0.3840572873934304,0.683,3.0,0.733,5.0
13,7,0.7305000000000001,4.05,0.010897247358851675,0.2179449471770336,0.683,4.0,0.733,5.0
14,13,0.7330000000000002,4.05,2.220446049250313e-16,0.21794494717703364,0.733,4.0,0.733,5.0
15,10,0.7330000000000002,4.0,2.220446049250313e-16,0.0,0.733,4.0,0.733,4.0
16,11,0.7330000000000002,4.1,2.220446049250313e-16,0.4358898943540672,0.733,4.0,0.733,6.0
17,12,0.7330000000000002,4.05,2.220446049250313e-16,0.2179449471770336,0.733,4.0,0.733,5.0
18,17,0.7238500000000001,3.9,0.030425770327142086,0.3,0.6,3.0,0.733,4.0
19,16,0.7263500000000002,3.95,0.028986677974545464,0.2179449471770336,0.6,3.0,0.733,4.0
20,8,0.7330000000000002,4.05,2.220446049250313e-16,0.2179449471770336,0.733,4.0,0.733,5.0
