sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,label
0.4837216,0.604365,0.6875117,0.6081529,0.4580027,0.493219,0
0.4837216,0.5062693,0.6199784,0.6081529,0.3167936,0.3883311,0
0.4837216,0.604365,0.6202321,0.6081529,0.4580027,0.3559417,0
0.4837216,0.604365,0.6202122,0.6081529,0.4566901,0.493219,0
0.4837216,0.604365,0.6416091,0.6081529,0.4580027,0.3696742,0
0.4837216,0.5062693,0.6199784,0.5976186,0.400671,0.4099338,0
0.4837216,0.604365,0.6202122,0.6081529,0.4579292,0.493219,0
0.4837216,0.604365,0.6199784,0.6081529,0.4580027,0.3618684,0
0.4837216,0.604365,0.6199784,0.6081529,0.4580027,0.4604971,0
0.4837216,0.604365,0.6199784,0.6081529,0.4580027,0.37953,0
0.4837216,0.604365,0.6887975,0.6081529,0.4580027,0.493219,1
0.4837216,0.604365,0.6887975,0.6081529,0.4580027,0.493219,1
0.4837216,0.604365,0.6887975,0.6081529,0.4580027,0.493219,1
0.4837216,0.604365,0.6887975,0.6081529,0.4580027,0.493219,1
0.4837216,0.604365,0.6887975,0.6081529,0.4580027,0.493219,1
0.4837216,0.604365,0.6887975,0.6081529,0.4580027,0.493219,1
0.4837216,0.604365,0.6887975,0.6081529,0.4580027,0.493219,1
0.4837216,0.604365,0.6887975,0.6081529,0.4580027,0.493219,1
0.4837216,0.604365,0.6887975,0.6081529,0.4580027,0.493219,1
0.4837216,0.604365,0.6887975,0.6081529,0.4580027,0.493219,1
0.4837216,0.604365,0.6887975,0.6081529,0.3167936,0.493219,2
0.4837216,0.604365,0.6887975,0.6081529,0.4580027,0.493219,2
0.4360538,0.604365,0.6887975,0.6081529,0.3382805,0.493219,2
0.4837216,0.604365,0.6887975,0.6081529,0.4580027,0.493219,2
0.4837216,0.604365,0.6887975,0.6081529,0.4580027,0.493219,2
0.4837216,0.604365,0.6887975,0.6081529,0.4580027,0.493219,2
0.4837216,0.604365,0.6887975,0.6081529,0.4511443,0.493219,2
0.4836641,0.604365,0.6887975,0.6081529,0.4580027,0.493219,2
0.4837216,0.604365,0.6887975,0.6081529,0.4580027,0.493219,2
0.4837216,0.604365,0.6887975,0.6081529,0.4580027,0.493219,2
0.4837216,0.604365,0.6887975,0.6081529,0.4580027,0.3559417,3
0.4837216,0.604365,0.6887975,0.6081529,0.4580027,0.3559417,3
0.4837216,0.604365,0.6887975,0.6081529,0.4580027,0.3559417,3
0.4837216,0.604365,0.6887975,0.5792476,0.4580027,0.3559417,3
0.4837216,0.604365,0.6887975,0.6081529,0.4580027,0.3559417,3
0.4837216,0.604365,0.6887975,0.6081529,0.4580027,0.3559417,3
0.4837216,0.604365,0.6887975,0.6081529,0.4580027,0.3559417,3
0.4837216,0.604365,0.6887975,0.6081529,0.4580027,0.3559417,3
0.4837216,0.604365,0.6887975,0.6081529,0.4580027,0.3559417,3
0.4837216,0.604365,0.6887975,0.6081529,0.4580027,0.3559417,3
0.4837216,0.604365,0.6199784,0.6081529,0.3675778,0.3650394,4
0.4837216,0.604365,0.6200965,0.6081529,0.3185319,0.404592,4
0.4837216,0.604365,0.6199784,0.6081529,0.4580027,0.3559417,4
0.4014802,0.604365,0.6199784,0.6081529,0.4580027,0.3559417,4
0.4825069,0.604365,0.6199784,0.6081529,0.4580027,0.356555,4
0.482821,0.604365,0.6199991,0.6081529,0.4580027,0.40446,4
0.4837216,0.604365,0.6199784,0.6081529,0.4580027,0.3566627,4
0.4837216,0.604365,0.6199991,0.6081529,0.4580027,0.404592,4
0.4837216,0.5069056,0.6199784,0.6081529,0.4580027,0.356555,4
0.3709515,0.604365,0.6199784,0.6081529,0.4580027,0.3566627,4
0.4837216,0.604365,0.6887975,0.6081529,0.4580027,0.493219,5
0.4837216,0.604365,0.6887975,0.6081529,0.4580027,0.493219,5
0.4837216,0.604365,0.6887975,0.6081529,0.4580027,0.493219,5
0.4837216,0.604365,0.6887975,0.6081529,0.4580027,0.493219,5
0.4837216,0.604365,0.6887975,0.6081529,0.4580027,0.493219,5
0.4837216,0.604365,0.6887975,0.6081529,0.4580027,0.493219,5
0.4837216,0.604365,0.6887975,0.6081529,0.4580027,0.493219,5
0.4837216,0.604365,0.6887975,0.6081529,0.4580027,0.493219,5
0.4837216,0.604365,0.6887975,0.6081529,0.4580027,0.493219,5
0.4837216,0.604365,0.6887975,0.6081529,0.4580027,0.493219,5
