sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9,label
0.5456285,0.584721,0.539044,0.5961252,0.5429189,0.6596967,0.4664394,0.5224944,0.4012723,0
0.5456285,0.5408009,0.5286978,0.4950825,0.5429189,0.6596967,0.4519262,0.3957283,0.4012723,0
0.5456285,0.4891584,0.5286978,0.5961252,0.5429189,0.6596967,0.4664394,0.4384042,0.4012723,0
0.5456285,0.5743729,0.5286978,0.5961252,0.5429189,0.6596967,0.4664394,0.4195976,0.4012723,0
0.5456285,0.584721,0.5286978,0.5961252,0.5429189,0.6596967,0.4664394,0.4384042,0.4012723,0
0.5456285,0.4796483,0.5286978,0.5054313,0.5429189,0.6596967,0.4664394,0.5224944,0.4012723,0
0.5456285,0.4891584,0.5286978,0.5961252,0.5429189,0.6597131,0.4664394,0.440254,0.4012723,0
0.5456285,0.5833228,0.5286978,0.5961252,0.5429189,0.664669,0.4664394,0.395689,0.4012723,0
0.5456285,0.5743729,0.5286978,0.5961252,0.5429189,0.6596967,0.4664394,0.3957283,0.4012723,0
0.5456285,0.5132325,0.5286978,0.5961252,0.5429189,0.6596967,0.4664394,0.395689,0.4012723,0
0.5456285,0.584721,0.6211044,0.5961252,0.5429189,0.718176,0.4664394,0.5224944,0.4012723,1
0.5456285,0.584721,0.6211044,0.5961252,0.5429189,0.718176,0.4664394,0.5224944,0.4012723,1
0.5456285,0.584721,0.6211044,0.5961252,0.5429189,0.718176,0.4664394,0.5224944,0.4012723,1
0.5456285,0.584721,0.6211044,0.5961252,0.5429189,0.718176,0.4664394,0.5224944,0.4012723,1
0.5456285,0.584721,0.6211044,0.5961252,0.5429189,0.718176,0.4664394,0.5224944,0.4012723,1
0.5456285,0.584721,0.6211044,0.5961252,0.5429189,0.718176,0.4664394,0.5224944,0.4012723,1
0.5456285,0.584721,0.6211044,0.5961252,0.5429189,0.718176,0.4664394,0.5224944,0.4012723,1
0.5456285,0.584721,0.6211044,0.5961252,0.5429189,0.718176,0.4664394,0.5224944,0.4012723,1
0.5456285,0.584721,0.6211044,0.5961252,0.5429189,0.718176,0.4664394,0.5224944,0.4012723,1
0.5456285,0.584721,0.6211044,0.5961252,0.5429189,0.718176,0.4664394,0.5224944,0.4012723,1
0.5456285,0.584721,0.6211044,0.5961252,0.5429189,0.718176,0.4517522,0.5224944,0.4012723,2
0.5456285,0.584721,0.6211044,0.5961252,0.5429189,0.718176,0.3301237,0.5224944,0.4012723,2
0.5456285,0.4815423,0.6211044,0.5961252,0.5429189,0.718176,0.4664394,0.5224944,0.4012723,2
0.5456285,0.5056896,0.6211044,0.5961252,0.5429189,0.718176,0.4664394,0.5224944,0.4012723,2
0.5456285,0.584721,0.6211044,0.5961252,0.5429189,0.718176,0.4139939,0.5224944,0.4012723,2
0.5456285,0.584721,0.6211044,0.5961252,0.5429189,0.718176,0.3491971,0.5224944,0.4012723,2
0.5456285,0.584721,0.6211044,0.5961252,0.5429189,0.718176,0.3301089,0.5224944,0.4012723,2
0.5456285,0.4814227,0.6211044,0.5961252,0.5429189,0.718176,0.4664394,0.5224944,0.4012723,2
0.5456285,0.584721,0.6211044,0.5961252,0.5429189,0.718176,0.4594767,0.5224944,0.4012723,2
0.5456285,0.4797003,0.6211044,0.5961252,0.5429189,0.718176,0.4664394,0.5224944,0.4012723,2
0.5456285,0.584721,0.5286978,0.5102676,0.531771,0.718176,0.4664394,0.395689,0.4012723,3
0.5456285,0.584721,0.5286978,0.496941,0.5169319,0.718176,0.4664394,0.395689,0.4012723,3
0.5456285,0.584721,0.5286978,0.5961252,0.5429189,0.718176,0.4664394,0.395689,0.4012723,3
0.5456285,0.584721,0.5286978,0.4950825,0.5172484,0.718176,0.4664394,0.395689,0.4012723,3
0.5456285,0.584721,0.5286978,0.5961252,0.5429189,0.718176,0.4664394,0.395689,0.4012723,3
0.5456285,0.584721,0.5286978,0.5961252,0.5429189,0.718176,0.4664394,0.395689,0.4012723,3
0.5456285,0.584721,0.5286978,0.5961252,0.5429189,0.718176,0.4664394,0.395689,0.4012723,3
0.5456285,0.584721,0.5286978,0.5961252,0.5429189,0.718176,0.4664394,0.395689,0.4012723,3
0.5456285,0.584721,0.5286978,0.5961252,0.5429189,0.718176,0.4664394,0.395689,0.4012723,3
0.5456285,0.584721,0.5286978,0.5961252,0.5429189,0.718176,0.4664394,0.395689,0.4012723,3
0.5456285,0.584721,0.5286978,0.5961252,0.5429189,0.6596967,0.3307648,0.395689,0.4012723,4
0.5456285,0.584721,0.5286978,0.5961252,0.5429189,0.6596967,0.4664394,0.395689,0.4012723,4
0.5456285,0.575525,0.5286978,0.5961252,0.5429189,0.6614009,0.4663242,0.395689,0.4012723,4
0.5393489,0.5323606,0.5286978,0.5961252,0.5429189,0.6659679,0.4664394,0.395689,0.4012723,4
0.4609025,0.4815423,0.5286978,0.5961252,0.5429189,0.6617463,0.4664394,0.395689,0.4012723,4
0.4328435,0.4815423,0.5286978,0.5961252,0.5429189,0.6596967,0.4664394,0.395689,0.4012723,4
0.4331371,0.4797003,0.5286978,0.5961252,0.5429189,0.6597131,0.4664394,0.395689,0.4012723,4
0.5456285,0.5768244,0.5286978,0.5961252,0.5429189,0.6596967,0.4664394,0.3968059,0.4012723,4
0.5452018,0.4796483,0.5286978,0.5961252,0.5429189,0.6596967,0.4664394,0.395689,0.4012723,4
0.5456285,0.4815423,0.5286978,0.5961252,0.5429189,0.6596967,0.4664394,0.395689,0.4012723,4
0.5456285,0.584721,0.5286978,0.5961252,0.5248853,0.6596967,0.4664394,0.5224944,0.4012723,5
0.5456285,0.584721,0.5286978,0.5961252,0.5419159,0.6596967,0.4664394,0.5224944,0.4012723,5
0.5456285,0.584721,0.5286978,0.5961252,0.5429189,0.6596967,0.4664394,0.5224944,0.4012723,5
0.5456285,0.584721,0.5286978,0.5961252,0.5429189,0.6596967,0.4664394,0.5224944,0.4012723,5
0.5456285,0.584721,0.5286978,0.5961252,0.5429189,0.6596967,0.4664394,0.5224944,0.4012723,5
0.5456285,0.584721,0.5286978,0.5168603,0.4234339,0.6596967,0.4664394,0.5224944,0.4012723,5
0.5456285,0.584721,0.5286978,0.5948148,0.4234339,0.6596967,0.4664394,0.5224944,0.4012723,5
0.5456285,0.584721,0.5286978,0.5961252,0.4234339,0.6596967,0.4664394,0.5224944,0.4012723,5
0.5456285,0.584721,0.5286978,0.5961252,0.5338333,0.6596967,0.4664394,0.5224944,0.4012723,5
0.5456285,0.584721,0.5286978,0.5961252,0.5429189,0.6596967,0.4664394,0.5224944,0.4012723,5
