gen,nevals,avg1,avg2,std1,std2,min1,min2,max1,max2
0,20,0.6191999999999998,4.5,0.13063636553425698,1.284523257866513,0.3,2.0,0.8,7.0
1,16,0.73,5.45,0.07680820268695267,1.3955285736952863,0.567,2.0,0.8,8.0
2,7,0.77585,5.55,0.0347394228507038,1.6575584454250776,0.65,3.0,0.8,9.0
3,15,0.79505,4.75,0.012951737335199479,1.479019945774904,0.767,3.0,0.817,9.0
4,14,0.7750500000000002,4.05,0.08136859037736859,0.864580823289529,0.5,2.0,0.817,6.0
5,11,0.8051000000000001,4.6,0.007790378681424885,1.0198039027185568,0.8,3.0,0.817,6.0
6,15,0.7860000000000001,5.05,0.06338296301057564,1.2439855304624727,0.583,2.0,0.817,7.0
7,16,0.8136000000000001,5.65,0.006799999999999962,0.9096702699330126,0.8,3.0,0.817,7.0
8,7,0.81615,5.95,0.0037050641020095506,0.2179449471770336,0.8,5.0,0.817,6.0
9,18,0.8153,6.0,0.007410128204019127,0.0,0.783,6.0,0.817,6.0
10,13,0.8002500000000001,5.85,0.053145907650542556,0.3570714214271425,0.583,5.0,0.817,6.0
11,10,0.81615,5.95,0.0037050641020095515,0.21794494717703367,0.8,5.0,0.817,6.0
12,14,0.81615,6.05,0.0037050641020095515,0.21794494717703367,0.8,6.0,0.817,7.0
13,7,0.807,5.95,0.043588989435406705,0.49749371855331026,0.617,4.0,0.817,7.0
14,13,0.817,6.05,0.0,0.21794494717703364,0.817,6.0,0.817,7.0
15,10,0.817,6.0,0.0,0.0,0.817,6.0,0.817,6.0
16,11,0.8053000000000001,5.9,0.05099911763942586,0.4358898943540672,0.583,4.0,0.817,6.0
17,12,0.8086500000000001,5.95,0.036396806178564604,0.2179449471770336,0.65,5.0,0.817,6.0
18,17,0.8119500000000001,5.9,0.01848641393023535,0.30000000000000004,0.733,5.0,0.817,6.0
19,16,0.81615,5.95,0.00370506410200955,0.2179449471770336,0.8,5.0,0.817,6.0
20,8,0.8053000000000001,5.95,0.05099911763942586,0.2179449471770336,0.583,5.0,0.817,6.0
