sensor1,sensor2,sensor3,sensor4,sensor5,label
0.7319021,0.5390536,0.5459312,0.7020962,0.6868775,0
0.7319021,0.4662137,0.4273935,0.7020962,0.7383,0
0.7319021,0.4275367,0.4273935,0.7020962,0.6950291,0
0.7319021,0.4187359,0.4273935,0.7020962,0.7383,0
0.7168759,0.5390536,0.4273935,0.7020962,0.7383,0
0.7319021,0.4180595,0.4273935,0.7020962,0.7383,0
0.6781415,0.5390536,0.4273935,0.7020962,0.7383,0
0.7319021,0.4325208,0.4273935,0.7020962,0.6868775,0
0.7319021,0.5028824,0.4273935,0.7020962,0.6868775,0
0.6781415,0.5390536,0.4273935,0.7020962,0.7383,0
0.7319021,0.5390536,0.5459312,0.7020962,0.7383,1
0.7319021,0.5390536,0.5459312,0.7020962,0.7383,1
0.7319021,0.5390536,0.5459312,0.7020962,0.7383,1
0.7319021,0.5390536,0.5459312,0.7020962,0.7383,1
0.7319021,0.5390536,0.5459312,0.7020962,0.7383,1
0.7319021,0.5390536,0.5459312,0.7020962,0.7383,1
0.7319021,0.5390536,0.5459312,0.7020962,0.7383,1
0.7319021,0.5390536,0.5459312,0.7020962,0.7383,1
0.7319021,0.5390536,0.5459312,0.7020962,0.7383,1
0.7319021,0.5390536,0.5459312,0.7020962,0.7383,1
0.7319021,0.4180595,0.5459312,0.6379233,0.7383,2
0.7319021,0.4180595,0.4375769,0.6387763,0.7383,2
0.7319021,0.4180595,0.5459312,0.6379233,0.7383,2
0.7319021,0.4180595,0.5428188,0.6829498,0.7383,2
0.7319021,0.4180595,0.5042363,0.6379233,0.7383,2
0.7319021,0.4180595,0.4294757,0.6379233,0.7383,2
0.7319021,0.4180595,0.4553121,0.6379233,0.7383,2
0.6816081,0.4180595,0.4423298,0.6379233,0.7383,2
0.7319021,0.4180595,0.4554477,0.6379233,0.7383,2
0.7069192,0.4180595,0.4375769,0.6426069,0.7383,2
0.6781415,0.5390536,0.4273935,0.7020962,0.7383,3
0.6781415,0.5390536,0.4273935,0.7020962,0.7383,3
0.6781415,0.5390536,0.4273935,0.7020962,0.7383,3
0.6781415,0.5390536,0.4273935,0.7020962,0.7383,3
0.6781415,0.5390536,0.4273935,0.7020962,0.7383,3
0.6781415,0.5390536,0.4273935,0.7020962,0.7383,3
0.6781415,0.5390536,0.4273935,0.7020962,0.7383,3
0.6781415,0.5390536,0.4273935,0.7020962,0.7383,3
0.6781415,0.5390536,0.4273935,0.7020962,0.7383,3
0.6781415,0.5390536,0.4273935,0.7020962,0.7383,3
0.6781415,0.5390536,0.4273935,0.6379233,0.6946313,4
0.6781415,0.5390536,0.4273935,0.6379233,0.6868775,4
0.6781415,0.5390536,0.4273935,0.6379233,0.6961706,4
0.6781415,0.5390536,0.4273935,0.6379233,0.7383,4
0.6781415,0.5390536,0.4273935,0.6379233,0.6868775,4
0.6781415,0.5390536,0.4273935,0.6379233,0.6868775,4
0.6781415,0.5390536,0.4273935,0.6379233,0.6868775,4
0.6781415,0.4180595,0.4273935,0.6379233,0.6868775,4
0.6781415,0.5390536,0.4273935,0.6379233,0.6868775,4
0.6781415,0.5390536,0.4273935,0.6379233,0.6868775,4
0.6781415,0.4187374,0.5459312,0.6379233,0.6868775,5
0.6781415,0.4647952,0.5459312,0.6379233,0.6868775,5
0.6781415,0.4647952,0.5459312,0.6379233,0.6868775,5
0.6781415,0.5028824,0.5459312,0.6379233,0.6868775,5
0.6781415,0.5390536,0.5459312,0.6379233,0.6868775,5
0.6781415,0.537503,0.5459312,0.6379233,0.6868775,5
0.6781415,0.537503,0.5459312,0.6379233,0.6868775,5
0.6781415,0.5390536,0.5459312,0.6379233,0.6868775,5
0.6781415,0.537503,0.5459312,0.6379233,0.6868775,5
0.6781415,0.5028824,0.5459312,0.6379233,0.6868775,5
