gen,nevals,avg1,avg2,std1,std2,min1,min2,max1,max2
0,20,0.6176,4.9,0.18285934485281305,1.3000000000000003,0.267,3.0,0.917,8.0
1,12,0.7767999999999998,5.9,0.08593695363462685,1.3379088160259653,0.617,4.0,0.917,10.0
2,13,0.7959500000000002,5.85,0.06520312492511382,1.6515144564913744,0.667,4.0,0.917,10.0
3,12,0.85355,6.65,0.03432269657238489,1.1079259903080168,0.767,4.0,0.933,8.0
4,10,0.8702500000000002,6.95,0.017046627232388246,0.49749371855331004,0.817,6.0,0.9,8.0
5,10,0.8826500000000002,6.95,0.01772082108707157,0.38405728739343037,0.85,6.0,0.9,8.0
6,12,0.8966999999999998,6.95,0.011265433857601766,0.38405728739343037,0.867,6.0,0.917,8.0
7,20,0.90005,6.7,0.011880551334008041,0.45825756949558405,0.867,6.0,0.917,7.0
8,9,0.9059500000000001,6.45,0.009728694670920664,0.5894913061275798,0.883,5.0,0.917,7.0
9,14,0.9103000000000001,6.0,0.01621449968392489,0.5477225575051661,0.867,5.0,0.917,8.0
10,8,0.9169500000000002,5.95,0.005219913792391599,0.2179449471770336,0.9,5.0,0.933,6.0
11,11,0.9119000000000002,6.05,0.017532541173486536,0.4974937185533099,0.867,5.0,0.933,7.0
12,10,0.9051,5.7,0.038768414979207,0.5567764362830021,0.783,5.0,0.933,7.0
13,12,0.9167,5.55,0.02236313931450593,0.5894913061275798,0.833,4.0,0.933,6.0
14,11,0.9265000000000001,5.15,0.01211404143958573,0.5722761571129799,0.883,4.0,0.933,6.0
15,8,0.9271999999999998,4.8,0.021889723616345662,0.5099019513592784,0.833,4.0,0.933,6.0
16,10,0.9155,4.35,0.07628073151196184,0.7262919523166977,0.583,2.0,0.933,5.0
17,13,0.9272,4.15,0.025281613872535923,0.3570714214271425,0.817,4.0,0.933,5.0
18,15,0.9296999999999999,4.1,0.009900000000000008,0.30000000000000004,0.9,4.0,0.933,5.0
19,9,0.9247,3.95,0.0361788612313876,0.21794494717703364,0.767,3.0,0.933,4.0
20,16,0.90395,4.05,0.06927443612184801,0.49749371855331,0.667,3.0,0.933,5.0
