gen,nevals,avg1,avg2,std1,std2,min1,min2,max1,max2
0,20,500.47984999999983,-498.15,2179.1099759888275,2179.6445874270416,0.35,-9999.0,9999.0,3.0
1,15,1500.35565,-1498.1,3570.144731331214,3571.0923804908766,0.35,-9999.0,9999.0,3.0
2,15,500.5297999999998,-497.9,2179.0985188491045,2179.7019956865665,0.35,-9999.0,9999.0,3.0
3,10,500.6621999999996,-497.25,2179.068138236218,2179.8509782781025,0.55,-9999.0,9999.0,3.0
4,17,0.7121999999999999,2.65,0.13733630255689863,0.6538348415311012,0.35,1.0,0.783,3.0
5,12,0.7729999999999999,2.95,0.04358898943540675,0.21794494717703364,0.583,2.0,0.783,3.0
6,12,0.7829999999999998,3.0,2.220446049250313e-16,0.0,0.783,3.0,0.783,3.0
7,11,0.7829999999999998,3.0,2.220446049250313e-16,0.0,0.783,3.0,0.783,3.0
8,10,0.7829999999999998,3.0,2.220446049250313e-16,0.0,0.783,3.0,0.783,3.0
9,15,0.7829999999999998,3.0,2.220446049250313e-16,0.0,0.783,3.0,0.783,3.0
10,14,0.7829999999999998,3.0,2.220446049250313e-16,0.0,0.783,3.0,0.783,3.0
11,14,0.7829999999999998,3.0,2.220446049250313e-16,0.0,0.783,3.0,0.783,3.0
12,11,0.7713499999999999,2.95,0.05078117269224885,0.21794494717703364,0.55,2.0,0.783,3.0
13,12,0.7754999999999999,2.95,0.032691742076555064,0.21794494717703364,0.633,2.0,0.783,3.0
14,16,0.7829999999999998,3.0,2.220446049250313e-16,0.0,0.783,3.0,0.783,3.0
15,11,0.7829999999999998,3.0,2.220446049250313e-16,0.0,0.783,3.0,0.783,3.0
16,5,0.7654999999999998,2.9,0.05309190145398828,0.3,0.583,2.0,0.783,3.0
17,17,0.7754999999999999,2.95,0.032691742076555064,0.21794494717703367,0.633,2.0,0.783,3.0
18,9,0.7829999999999998,3.0,2.220446049250313e-16,0.0,0.783,3.0,0.783,3.0
19,14,0.7713499999999998,2.95,0.05078117269224883,0.2179449471770336,0.55,2.0,0.783,3.0
20,10,0.7829999999999998,3.0,2.220446049250313e-16,0.0,0.783,3.0,0.783,3.0
