sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9,sensor10,sensor11,label
0.5388713,0.616268,0.7137083,0.6048765,0.4591536,0.3814876,0.4024629,0.5014734,0,0.5549284,0.5586182,0
0.5388713,0.616268,0.6889768,0.6048765,0.4591536,0.3834521,0.4024629,0.4351156,0,0.5549284,0.601296,0
0.5388713,0.616268,0.6551353,0.6048765,0.4591536,0.3814884,0.5242056,0.3719527,0,0.5549284,0.5020994,0
0.5388713,0.616268,0.7137083,0.6048765,0.4591536,0.5119639,0.527529,0.4253061,0,0.4961276,0.5568614,0
0.5388713,0.616268,0.7137083,0.6048765,0.4591536,0.3814876,0.4748901,0.5014734,0,0.5549284,0.5020994,0
0.5388713,0.616268,0.6535186,0.6048765,0.4472014,0.5119639,0.527529,0.4714662,0,0.4392799,0.601296,0
0.5388713,0.616268,0.6551353,0.6048765,0.4591536,0.5119639,0.4990698,0.497633,0,0.4698615,0.5020994,0
0.5388713,0.616268,0.6545485,0.6048765,0.4591536,0.4164035,0.413496,0.367691,0,0.5549284,0.5020994,0
0.5388713,0.616268,0.6548869,0.6048765,0.4591536,0.3817956,0.4024629,0.367691,0,0.5549284,0.5020994,0
0.5388713,0.616268,0.6548869,0.6048765,0.4591536,0.5119639,0.4403217,0.367691,0,0.4961276,0.5020994,0
0.5388713,0.616268,0.7137083,0.6048765,0.4591536,0.5119639,0.527529,0.5014734,0,0.5549284,0.601296,1
0.5388713,0.616268,0.7137083,0.6048765,0.4591536,0.5119639,0.527529,0.5014734,0,0.5549284,0.601296,1
0.5388713,0.616268,0.7137083,0.6048765,0.4591536,0.5119639,0.527529,0.5014734,0,0.5549284,0.601296,1
0.5388713,0.616268,0.7137083,0.6048765,0.4591536,0.5119639,0.527529,0.5014734,0,0.5549284,0.601296,1
0.5388713,0.616268,0.7137083,0.6048765,0.4591536,0.5119639,0.527529,0.5014734,0,0.5549284,0.601296,1
0.5388713,0.616268,0.7137083,0.6048765,0.4591536,0.5119639,0.527529,0.5014734,0,0.5549284,0.601296,1
0.5388713,0.616268,0.7137083,0.6048765,0.4591536,0.5119639,0.527529,0.5014734,0,0.5549284,0.601296,1
0.5388713,0.616268,0.7137083,0.6048765,0.4591536,0.5119639,0.527529,0.5014734,0,0.5549284,0.601296,1
0.5388713,0.616268,0.7137083,0.6048765,0.4591536,0.5119639,0.527529,0.5014734,0,0.5549284,0.601296,1
0.5388713,0.616268,0.7137083,0.6048765,0.4591536,0.5119639,0.527529,0.5014734,0,0.5549284,0.601296,1
0.5388713,0.616268,0.7137083,0.6048765,0.3196646,0.3814876,0.527529,0.5014734,0,0.5549284,0.601296,2
0.5388713,0.616268,0.7137083,0.6048765,0.4554408,0.3814876,0.4716234,0.5014734,0,0.4392799,0.601296,2
0.5388713,0.616268,0.7137083,0.6048765,0.4281098,0.3814876,0.527529,0.5014734,0,0.4392799,0.601296,2
0.5388713,0.616268,0.7137083,0.6048765,0.4591536,0.3814876,0.4716234,0.5014734,0,0.4392799,0.601296,2
0.5388713,0.616268,0.7137083,0.6048765,0.4591536,0.3814876,0.527529,0.5014734,0,0.4392799,0.601296,2
0.5388713,0.616268,0.7137083,0.6048765,0.4591536,0.3814876,0.527529,0.5014734,0,0.4392799,0.601296,2
0.5388713,0.616268,0.7137083,0.6048765,0.4194028,0.3814876,0.527529,0.5014734,0,0.4663268,0.601296,2
0.5388713,0.616268,0.7137083,0.6048765,0.4591536,0.3814876,0.527529,0.5014734,0,0.4392799,0.601296,2
