sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,label
0.6225032,0.6501918,0.553434,0.4827961,0,0.4808641,0.4013639,0.4773711,0
0.5306942,0.6501918,0.5198292,0.5870554,0,0.474401,0.4013639,0.4740842,0
0.5306942,0.5679022,0.437566,0.4834458,0,0.3398181,0.4013639,0.3359285,0
0.6130857,0.5679022,0.4647804,0.5870554,0,0.4542678,0.4013639,0.4250343,0
0.6225032,0.6501918,0.553434,0.4851791,0,0.4808641,0.4013639,0.3350388,0
0.5306942,0.5679022,0.553434,0.5870554,0,0.4108212,0.4013639,0.4773711,0
0.5336218,0.5679022,0.4628207,0.5870554,0,0.4808641,0.4013639,0.4773711,0
0.6225032,0.5679022,0.5083477,0.5870554,0,0.3467914,0.4013639,0.4261577,0
0.5936648,0.5679022,0.4659839,0.5869783,0,0.3398181,0.4013639,0.4773711,0
0.5336218,0.5679022,0.437566,0.5870554,0,0.4808641,0.4013639,0.4773711,0
0.6225032,0.6501918,0.553434,0.5870554,0,0.4808641,0.4013639,0.3687999,1
0.6225032,0.6501918,0.553434,0.5870554,0,0.4808641,0.4013639,0.3357183,1
0.6225032,0.6501918,0.553434,0.5870554,0,0.4808641,0.4013639,0.3350388,1
0.6225032,0.6501918,0.553434,0.5870554,0,0.4808641,0.4013639,0.3350388,1
0.6225032,0.6501918,0.553434,0.5870554,0,0.4808641,0.4013639,0.3350388,1
0.6225032,0.6501918,0.553434,0.5870554,0,0.4808641,0.4013639,0.3350388,1
0.6225032,0.6501918,0.553434,0.5870554,0,0.4808641,0.4013639,0.3357183,1
0.6225032,0.6501918,0.553434,0.5870554,0,0.4808641,0.4013639,0.3350388,1
0.6225032,0.6501918,0.553434,0.5870554,0,0.4808641,0.4013639,0.3379142,1
0.6225032,0.6501918,0.553434,0.5870554,0,0.4808641,0.4013639,0.3498964,1
0.6225032,0.6501918,0.437566,0.5870554,0,0.3398181,0.4013639,0.4773711,2
0.5306942,0.6501918,0.437566,0.5686161,0,0.3462159,0.4013639,0.3350388,2
0.5306942,0.6501918,0.437566,0.5870554,0,0.3398181,0.4013639,0.4773711,2
0.5306942,0.6501918,0.4388334,0.5869712,0,0.4808641,0.4013639,0.3350388,2
0.5306942,0.6501918,0.437566,0.5870554,0,0.3398181,0.4013639,0.3624114,2
0.5306942,0.6501918,0.437566,0.5870554,0,0.3399302,0.4013639,0.3350388,2
0.5306942,0.6501918,0.437566,0.5870554,0,0.3398181,0.4013639,0.3350388,2
0.5306942,0.6501918,0.437566,0.5870554,0,0.3398181,0.4013639,0.3656841,2
0.5306942,0.6501918,0.437566,0.5870554,0,0.3398181,0.4013639,0.3350388,2
0.5306942,0.6501918,0.437566,0.4974252,0,0.4808641,0.4013639,0.3350388,2
0.6225032,0.5679022,0.553434,0.4827961,0,0.4808641,0.4013639,0.3350388,3
0.6225032,0.5679022,0.553434,0.4827961,0,0.4808641,0.4013639,0.3350388,3
0.6225032,0.5679022,0.553434,0.4827961,0,0.4808641,0.4013639,0.4773711,3
0.6225032,0.5679022,0.553434,0.4827961,0,0.4775572,0.4013639,0.3350388,3
0.6225032,0.5679022,0.553434,0.4827961,0,0.4808641,0.4013639,0.3853317,3
0.6225032,0.5679022,0.553434,0.4827961,0,0.4808641,0.4013639,0.3350388,3
0.6225032,0.5679022,0.553434,0.4827961,0,0.4808641,0.4013639,0.4275366,3
0.6225032,0.5742798,0.553434,0.4827961,0,0.4808641,0.4013639,0.3853317,3
0.6225032,0.5679022,0.553434,0.4827961,0,0.4808641,0.4013639,0.3350388,3
0.6225032,0.5679022,0.553434,0.4827961,0,0.4808641,0.4013639,0.3350388,3
0.5308269,0.5679022,0.553434,0.4827961,0,0.4808641,0.4013639,0.3350388,4
0.5308269,0.5679022,0.553434,0.4827961,0,0.4808641,0.4013639,0.3350388,4
0.5306942,0.5679022,0.553434,0.4827961,0,0.4808641,0.4013639,0.3350388,4
0.5306942,0.5679022,0.553434,0.4828773,0,0.4808641,0.4013639,0.3350388,4
0.5306942,0.5679022,0.553434,0.4827961,0,0.4808641,0.4013639,0.3350388,4
0.5306942,0.5679022,0.553434,0.4827961,0,0.4808641,0.4013639,0.3350388,4
0.5306942,0.5679022,0.553434,0.4827961,0,0.4808641,0.4013639,0.3350388,4
0.5308269,0.5679022,0.437566,0.4827961,0,0.4808641,0.4013639,0.3350388,4
0.5879393,0.5679022,0.553434,0.4827961,0,0.4808641,0.4013639,0.3350388,4
0.5306942,0.5679022,0.553434,0.4827961,0,0.4808641,0.4013639,0.3350388,4
0.5306942,0.5679022,0.437566,0.5870554,0,0.4808641,0.4013639,0.4773711,5
0.5306942,0.5679022,0.4534277,0.5870554,0,0.4808641,0.4013639,0.4773711,5
0.5306942,0.5679022,0.439383,0.5870554,0,0.4808641,0.4013639,0.4773711,5
0.5306942,0.5679022,0.4733601,0.5870554,0,0.4808641,0.4013639,0.4773711,5
0.5306942,0.5679022,0.4733601,0.5870554,0,0.4808641,0.4013639,0.4773711,5
0.53449,0.5679022,0.5524052,0.5870554,0,0.4808641,0.4013639,0.4773711,5
0.5336218,0.5679022,0.5524052,0.5870554,0,0.4808641,0.4013639,0.4773711,5
0.5308269,0.5679022,0.5524052,0.5870554,0,0.4808641,0.4013639,0.4773711,5
0.5308269,0.5679022,0.5524052,0.5870554,0,0.4808641,0.4013639,0.4773711,5
0.5306942,0.5679022,0.4733601,0.5870554,0,0.4808641,0.4013639,0.4773711,5
