sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9,sensor10,sensor11,sensor12,sensor13,sensor14,sensor15,sensor16,sensor17,sensor18,sensor19,sensor20,sensor21,sensor22,sensor23,sensor24,sensor25,sensor26,sensor27,sensor28,sensor29,sensor30,sensor31,sensor32,sensor33,sensor34,sensor35,sensor36,sensor37,sensor38,sensor39,sensor40,sensor41,sensor42,sensor43,sensor44,sensor45,sensor46,sensor47,sensor48,sensor49,sensor50,sensor51,sensor52,sensor53,sensor54,sensor55,sensor56,sensor57,sensor58,sensor59,sensor60,sensor61,sensor62,sensor63,sensor64,sensor65,sensor66,sensor67,sensor68,sensor69,sensor70,sensor71,sensor72,sensor73,sensor74,sensor75,sensor76,sensor77,sensor78,sensor79,sensor80,time
0.4013506,0.4906242,0.4486549,0.5056319,0.65761,0.6905051,0.6864812,0.6467237,0.5921494,0.5372179,0.3946813,0.3486107,0.4106449,0.477818,0.5667309,0.6563773,0.6530342,0.6204446,0.5732527,0.5245737,0.3495796,0.3322048,0.3890152,0.4465871,0.4975913,0.6195737,0.6169727,0.5908623,0.5520584,0.5092119,0.2684973,0.3135151,0.3638055,0.4136475,0.4549735,0.5837117,0.5818953,0.5609069,0.5283931,0.4909115,0.2539601,0.3455989,0.3378036,0.3797623,0.4134873,0.5487372,0.5484444,0.5316289,0.5030766,0.473784,0.2376642,0.3898375,0.3123957,0.3479813,0.3749748,0.5183116,0.5174513,0.5012925,0.4820631,0.4533844,0.2220689,0.3663115,0.2867604,0.3160836,0.3391758,0.4902494,0.4870071,0.4774182,0.4596313,0.282862,0.2110389,0.3452515,0.2684984,0.2939526,0.3127238,0.468778,0.4686598,0.4566996,0.4427316,0.2612795,3.04
0.4013506,0.4882939,0.4301991,0.5638554,0.65761,0.6905051,0.6864812,0.6467237,0.5921494,0.5372179,0.3539182,0.3486107,0.4106449,0.477818,0.574525,0.6563773,0.6530342,0.6204446,0.5732527,0.5245737,0.2807214,0.3322048,0.3890152,0.4465871,0.4975913,0.6195737,0.6169727,0.5908623,0.5520584,0.5092119,0.2684836,0.3135151,0.3638055,0.4136475,0.4549735,0.5837117,0.5818953,0.5609069,0.5283931,0.4909115,0.2539601,0.2945756,0.3378036,0.3797623,0.4134873,0.5487372,0.5484444,0.5316289,0.5030766,0.473784,0.2376642,0.2771452,0.3123957,0.3479813,0.3749748,0.5183116,0.5174513,0.5012925,0.4820631,0.4533844,0.2220689,0.2582013,0.2867604,0.3160836,0.3391758,0.4902494,0.4870071,0.4774182,0.4596313,0.282862,0.2110389,0.280212,0.2684984,0.2939526,0.3127238,0.468778,0.4686598,0.4566996,0.4427316,0.2612795,3.373333
0.4013506,0.4845647,0.4301991,0.6039169,0.65761,0.6905051,0.6864812,0.6467237,0.5921494,0.5372179,0.3232713,0.3486107,0.4106449,0.477818,0.6257476,0.6563773,0.6530342,0.6204446,0.5732527,0.5245737,0.2807214,0.3322048,0.3890152,0.4465871,0.4975913,0.6195737,0.6169727,0.5908623,0.5520584,0.5092119,0.2684836,0.3135151,0.3638055,0.4136475,0.4549735,0.5837117,0.5818953,0.5609069,0.5283931,0.4909115,0.2539601,0.2945756,0.3378036,0.3797623,0.4134873,0.5487372,0.5484444,0.5316289,0.5030766,0.473784,0.2376642,0.27494,0.3123957,0.3479813,0.3812661,0.5183116,0.5174513,0.5012925,0.4820631,0.4533844,0.2220689,0.254673,0.2867604,0.3160836,0.3486069,0.4902494,0.4870071,0.4774182,0.4596313,0.282862,0.2110389,0.2428834,0.2684984,0.2939526,0.3134416,0.468778,0.4686598,0.4566996,0.4427316,0.2612795,3.706666
0.4013506,0.4845647,0.4301991,0.6039169,0.65761,0.6905051,0.6864812,0.6467237,0.5921494,0.5372179,0.3232332,0.3486107,0.4106449,0.477818,0.5628454,0.6563773,0.6530342,0.6204446,0.5732527,0.5245737,0.2807214,0.3322048,0.3890152,0.4465871,0.4975913,0.6195737,0.6169727,0.5908623,0.5520584,0.5092119,0.2684836,0.3135151,0.3638055,0.4136475,0.4549735,0.5837117,0.5818953,0.5609069,0.5283931,0.4909115,0.2539601,0.2945756,0.3378036,0.3797623,0.4134873,0.5487372,0.5484444,0.5316289,0.5030766,0.473784,0.2376642,0.27494,0.3123957,0.3479813,0.3749748,0.5183116,0.5174513,0.5012925,0.4820631,0.4533844,0.2220689,0.254187,0.2867604,0.3160836,0.3391758,0.4902494,0.4870071,0.4774182,0.4596313,0.282862,0.2110389,0.2408364,0.2684984,0.2939526,0.3127238,0.468778,0.4686598,0.4566996,0.4427316,0.2612795,4.04
0.4013506,0.4845647,0.4301991,0.6039169,0.65761,0.6905051,0.6864812,0.6467237,0.5921494,0.5372179,0.3232332,0.3486107,0.4106449,0.477818,0.5628454,0.6563773,0.6530342,0.6204446,0.5732527,0.5245737,0.2807214,0.3322048,0.3890152,0.4465871,0.4975913,0.6195737,0.6169727,0.5908623,0.5520584,0.5092119,0.2684836,0.3135151,0.3638055,0.4136475,0.4549735,0.5837117,0.5818953,0.5609069,0.5283931,0.4909115,0.2539601,0.2945756,0.3378036,0.3797623,0.4134873,0.5487372,0.5484444,0.5316289,0.5030766,0.473784,0.2376642,0.27494,0.3123957,0.3479813,0.3749748,0.5183116,0.5174513,0.5012925,0.4820631,0.4533844,0.2220689,0.254673,0.2867604,0.3160836,0.3391758,0.4902494,0.4870071,0.4774182,0.4596313,0.282862,0.2110389,0.2408364,0.2684984,0.2939526,0.3127238,0.468778,0.4686598,0.4566996,0.4427316,0.2612795,4.373333
0.4013506,0.4845647,0.4301991,0.6039169,0.65761,0.6905051,0.6864812,0.6467237,0.5921494,0.5372179,0.3232332,0.3486107,0.4106449,0.477818,0.5628454,0.6563773,0.6530342,0.6204446,0.5732527,0.5245737,0.2807214,0.3322048,0.3890152,0.4465871,0.4975913,0.6195737,0.6169727,0.5908623,0.5520584,0.5092119,0.2684836,0.3135151,0.3638055,0.4136475,0.4549735,0.5837117,0.5818953,0.5609069,0.5283931,0.4909115,0.2539601,0.2945756,0.3378036,0.3797623,0.4134873,0.5487372,0.5484444,0.5316289,0.5030766,0.473784,0.2376642,0.27494,0.3123957,0.3479813,0.3749748,0.5183116,0.5174513,0.5012925,0.4820631,0.4533844,0.2220689,0.254673,0.2867604,0.3160836,0.3391758,0.4902494,0.4870071,0.4774182,0.4596313,0.282862,0.2110389,0.2408364,0.2684984,0.2939526,0.3127238,0.468778,0.4686598,0.4566996,0.4427316,0.2612795,4.706667
0.4013506,0.4845647,0.4301991,0.6039169,0.65761,0.6905051,0.6864812,0.6467237,0.5921494,0.5372179,0.3232332,0.3486107,0.4106449,0.477818,0.5628454,0.6563773,0.6530342,0.6204446,0.5732527,0.5245737,0.2807214,0.3322048,0.3890152,0.4465871,0.4975913,0.6195737,0.6169727,0.5908623,0.5520584,0.5092119,0.2684836,0.3135151,0.3638055,0.4136475,0.4549735,0.5837117,0.5818953,0.5609069,0.5283931,0.4909115,0.2539601,0.2945756,0.3378036,0.3797623,0.4134873,0.5487372,0.5484444,0.5316289,0.5030766,0.473784,0.2376642,0.27494,0.3123957,0.3479813,0.3749748,0.5183116,0.5174513,0.5012925,0.4820631,0.4533844,0.2220689,0.254673,0.2867604,0.3160836,0.3391758,0.4902494,0.4870071,0.4774182,0.4596313,0.282862,0.2110389,0.2408364,0.2684984,0.2939526,0.3127238,0.468778,0.4686598,0.4566996,0.4427316,0.2612795,5.04
0.4013506,0.4845647,0.4301991,0.6039169,0.65761,0.6905051,0.6864812,0.6467237,0.5921494,0.5372179,0.3232332,0.3486107,0.4106449,0.477818,0.5628454,0.6563773,0.6530342,0.6204446,0.5732527,0.5245737,0.2807214,0.3322048,0.3890152,0.4465871,0.4975913,0.6195737,0.6169727,0.5908623,0.5520584,0.5092119,0.2684836,0.3135151,0.3638055,0.4136475,0.4549735,0.5837117,0.5818953,0.5609069,0.5283931,0.4909115,0.2539601,0.2945756,0.3378036,0.3797623,0.4134873,0.5487372,0.5484444,0.5316289,0.5030766,0.473784,0.2376642,0.27494,0.3123957,0.3479813,0.3749748,0.5183116,0.5174513,0.5012925,0.4820631,0.4533844,0.2220689,0.254673,0.2867604,0.3160836,0.3391758,0.4902494,0.4870071,0.4774182,0.4596313,0.282862,0.2110389,0.2408364,0.2684984,0.2939526,0.3127238,0.468778,0.4686598,0.4566996,0.4427316,0.2612795,5.373334
0.4013506,0.4845647,0.4301991,0.6039169,0.65761,0.6905051,0.6864812,0.6467237,0.5921494,0.5372179,0.3232332,0.3486107,0.4106449,0.477818,0.5628454,0.6563773,0.6530342,0.6204446,0.5732527,0.5245737,0.2807214,0.3322048,0.3890152,0.4465871,0.4975913,0.6195737,0.6169727,0.5908623,0.5520584,0.5092119,0.2684836,0.3135151,0.3638055,0.4136475,0.4549735,0.5837117,0.5818953,0.5609069,0.5283931,0.4909115,0.2539601,0.2945756,0.3378036,0.3797623,0.4134873,0.5487372,0.5484444,0.5316289,0.5030766,0.473784,0.2376642,0.27494,0.3123957,0.3479813,0.3749748,0.5183116,0.5174513,0.5012925,0.4820631,0.4533844,0.2220689,0.254673,0.2867604,0.3160836,0.3391758,0.4902494,0.4870071,0.4774182,0.4596313,0.282862,0.2110389,0.2408364,0.2684984,0.2939526,0.3127238,0.468778,0.4686598,0.4566996,0.4427316,0.2612795,5.706667
0.4013506,0.4845647,0.4301991,0.6039169,0.65761,0.6905051,0.6864812,0.6467237,0.5921494,0.5372179,0.3232332,0.3486107,0.4106449,0.477818,0.5628454,0.6563773,0.6530342,0.6204446,0.5732527,0.5245737,0.2807214,0.3322048,0.3890152,0.4465871,0.4975913,0.6195737,0.6169727,0.5908623,0.5520584,0.5092119,0.2684836,0.3135151,0.3638055,0.4136475,0.4549735,0.5837117,0.5818953,0.5609069,0.5283931,0.4909115,0.2539601,0.2945756,0.3378036,0.3797623,0.4134873,0.5487372,0.5484444,0.5316289,0.5030766,0.473784,0.2376642,0.27494,0.3123957,0.3479813,0.3749748,0.5183116,0.5174513,0.5012925,0.4820631,0.4533844,0.2220689,0.254673,0.2867604,0.3160836,0.3391758,0.4902494,0.4870071,0.4774182,0.4596313,0.282862,0.2110389,0.2408364,0.2684984,0.2939526,0.3127238,0.468778,0.4686598,0.4566996,0.4427316,0.2612795,6.040001
0.4013506,0.4845647,0.4301991,0.6039169,0.65761,0.6905051,0.6864812,0.6467237,0.5921494,0.5372179,0.3232332,0.3486107,0.4106449,0.477818,0.5628454,0.6563773,0.6530342,0.6204446,0.5732527,0.5245737,0.2807214,0.3322048,0.3890152,0.4465871,0.4975913,0.6195737,0.6169727,0.5908623,0.5520584,0.5092119,0.2684836,0.3135151,0.3638055,0.4136475,0.4549735,0.5837117,0.5818953,0.5609069,0.5283931,0.4909115,0.2539601,0.2945756,0.3378036,0.3797623,0.4134873,0.5487372,0.5484444,0.5316289,0.5030766,0.473784,0.2376642,0.27494,0.3123957,0.3479813,0.3749748,0.5183116,0.5174513,0.5012925,0.4820631,0.4533844,0.2220689,0.254673,0.2867604,0.3160836,0.3391758,0.4902494,0.4870071,0.4774182,0.4596313,0.282862,0.2110389,0.2408364,0.2684984,0.2939526,0.3127238,0.468778,0.4686598,0.4566996,0.4427316,0.2612795,6.373334
0.4013506,0.4845647,0.4301991,0.6039169,0.65761,0.6905051,0.6864812,0.6467237,0.5921494,0.5372179,0.3232332,0.3486107,0.4106449,0.477818,0.5628454,0.6563773,0.6530342,0.6204446,0.5732527,0.5245737,0.2807214,0.3322048,0.3890152,0.4465871,0.4975913,0.6195737,0.6169727,0.5908623,0.5520584,0.5092119,0.2684836,0.3135151,0.3638055,0.4136475,0.4549735,0.5837117,0.5818953,0.5609069,0.5283931,0.4909115,0.2539601,0.2945756,0.3378036,0.3797623,0.4134873,0.5487372,0.5484444,0.5316289,0.5030766,0.473784,0.2376642,0.27494,0.3123957,0.3479813,0.3749748,0.5183116,0.5174513,0.5012925,0.4820631,0.4533844,0.2220689,0.254673,0.2867604,0.3160836,0.3391758,0.4902494,0.4870071,0.4774182,0.4596313,0.282862,0.2110389,0.2408364,0.2684984,0.2939526,0.3127238,0.468778,0.4686598,0.4566996,0.4427316,0.2612795,6.706668
0.4013506,0.4845647,0.4301991,0.6039169,0.65761,0.6905051,0.6864812,0.6467237,0.5921494,0.5372179,0.3232332,0.3486107,0.4106449,0.477818,0.5628454,0.6563773,0.6530342,0.6204446,0.5732527,0.5245737,0.2807214,0.3322048,0.3890152,0.4465871,0.4975913,0.6195737,0.6169727,0.5908623,0.5520584,0.5092119,0.2684836,0.3135151,0.3638055,0.4136475,0.4549735,0.5837117,0.5818953,0.5609069,0.5283931,0.4909115,0.2539601,0.2945756,0.3378036,0.3797623,0.4134873,0.5487372,0.5484444,0.5316289,0.5030766,0.473784,0.2376642,0.27494,0.3123957,0.3479813,0.3749748,0.5183116,0.5174513,0.5012925,0.4820631,0.4533844,0.2220689,0.254673,0.2867604,0.3160836,0.3391758,0.4902494,0.4870071,0.4774182,0.4596313,0.282862,0.2110389,0.2408364,0.2684984,0.2939526,0.3127238,0.468778,0.4686598,0.4566996,0.4427316,0.2612795,7.040001
