sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9,sensor10,sensor11,sensor12,sensor13,sensor14,sensor15,sensor16,sensor17,sensor18,sensor19,sensor20,sensor21,sensor22,sensor23,sensor24,sensor25,label
0.3736773,0.5780034,0.7085333,0.615743,0.4450714,0.4062773,0.6062692,0.6846344,0.6319228,0.5005673,0.4072877,0.5593569,0.5598777,0.4811134,0.3459177,0.3835393,0.5035957,0.4358709,0.385113,0.2951723,0.254112,0.3698214,0.3339746,0.2985382,0.2469585,0
0.3736773,0.5780034,0.7085333,0.615743,0.4450714,0.4062773,0.6062692,0.6846344,0.6319228,0.5005673,0.4072877,0.5593569,0.5598777,0.4912149,0.3459177,0.3835393,0.3997997,0.4358709,0.385113,0.2951723,0.254112,0.2932166,0.3339746,0.2985382,0.2469585,0
0.3736773,0.5780034,0.6549518,0.615743,0.4450714,0.4062773,0.6062692,0.6846344,0.6319228,0.5005673,0.4072877,0.4979554,0.5598777,0.4694622,0.3459177,0.3835393,0.3699862,0.4358709,0.385113,0.2951723,0.254112,0.2932166,0.3339746,0.2985382,0.2469585,0
0.3736773,0.5780034,0.7085333,0.615743,0.4450714,0.4062773,0.6062692,0.6846344,0.6319228,0.5005673,0.4072877,0.5593569,0.5598777,0.4694622,0.3459177,0.3835393,0.3699862,0.4358709,0.395818,0.2951723,0.254112,0.3527588,0.3339746,0.4502936,0.2469585,0
0.3736773,0.5780034,0.7085333,0.615743,0.4450714,0.4062773,0.6062692,0.6846344,0.6319228,0.5005673,0.4072877,0.5593569,0.5598777,0.4694622,0.3459177,0.3835393,0.5035957,0.4358709,0.385113,0.2951723,0.254112,0.2954025,0.3339746,0.2988755,0.2469585,0
0.3736773,0.5780034,0.7085333,0.615743,0.4450714,0.4062773,0.6062692,0.6846344,0.6319228,0.5005673,0.4072877,0.4558862,0.5598777,0.4943851,0.3459177,0.3835393,0.3699862,0.4358709,0.385113,0.2951723,0.254112,0.3190042,0.3339746,0.3477547,0.2469585,0
0.3736773,0.5780034,0.7085333,0.615743,0.4450714,0.4062773,0.6062692,0.6846344,0.6319228,0.5005673,0.4072877,0.5593569,0.5598777,0.4694622,0.3459177,0.3835393,0.4945863,0.4358709,0.385113,0.2951723,0.254112,0.2932166,0.3339746,0.3477547,0.2469585,0
0.3736773,0.5780034,0.6559151,0.615743,0.4450714,0.4062773,0.6062692,0.6846344,0.6319228,0.5005673,0.4072877,0.5593569,0.5598777,0.4694622,0.3459177,0.3835393,0.4016868,0.4358709,0.385113,0.2951723,0.254112,0.2932166,0.3339746,0.2985382,0.2469585,0
0.3736773,0.5780034,0.6465796,0.615743,0.4450714,0.4062773,0.6062692,0.6846344,0.6319228,0.5005673,0.4072877,0.5593569,0.5598777,0.4694622,0.3459177,0.3835393,0.4016868,0.4358709,0.385113,0.2951723,0.254112,0.2953788,0.3339746,0.2988755,0.2469585,0
0.3736773,0.5780034,0.7085333,0.615743,0.4450714,0.4062773,0.6062692,0.6918947,0.6319228,0.5005673,0.4072877,0.5593569,0.5598777,0.4694622,0.3459177,0.3835393,0.5035957,0.4358709,0.385113,0.2951723,0.254112,0.3105229,0.3339746,0.2985382,0.2469585,0
