sensor1 x: 0.11, y: 0.07
sensor2 x: 0.53, y: 0.44
sensor3 x: 1.05, y: 0.52
sensor4 x: 1.69, y: 0.52
sensor5 x: 2.26, y: 0.49
sensor6 x: 0.40, y: 0.50
sensor7 x: 1.11, y: 0.57
sensor8 x: 1.74, y: 0.57
sensor9 x: 2.33, y: 0.53
sensor10 x: 0.57, y: 1.34
sensor11 x: 0.99, y: 1.33
sensor12 x: 1.47, y: 1.35
sensor13 x: 2.10, y: 1.37
sensor14 x: 1.48, y: 0.96
