sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,label
0.5657915,0.6822362,0.6268463,0.5963933,0.447155,0.4812675,0.4268773,0
0.5657915,0.6822362,0.6268463,0.5963933,0.447155,0.4812675,0.4268773,0
0.5657915,0.6822362,0.6268463,0.5963933,0.4543746,0.4812675,0.4268773,0
0.5657915,0.6822362,0.6350941,0.5963933,0.5605996,0.4812675,0.5184771,0
0.5657915,0.6822362,0.6268463,0.5963933,0.447155,0.4812675,0.4268773,0
0.5657915,0.6199247,0.6684299,0.5963933,0.447155,0.4812675,0.4268773,0
0.5657915,0.6822362,0.6268463,0.5963933,0.4990327,0.4812675,0.4268773,0
0.5657915,0.6822362,0.6268463,0.5963933,0.4543746,0.4812675,0.4268773,0
0.5657915,0.6111996,0.6268463,0.5963933,0.5605996,0.4812675,0.4268773,0
0.5657915,0.6822362,0.6268463,0.5963933,0.4479336,0.4812675,0.4268773,0
0.5657915,0.6822362,0.6938875,0.5963933,0.5605996,0.4812675,0.5454778,1
0.5657915,0.6822362,0.6938875,0.5963933,0.5605996,0.4812675,0.5454778,1
0.5657915,0.6822362,0.6938875,0.5963933,0.5605996,0.4812675,0.5454778,1
0.5657915,0.6822362,0.6352974,0.5963933,0.5605996,0.4812675,0.5454778,1
0.5657915,0.6822362,0.6938875,0.5963933,0.5605996,0.4812675,0.5403271,1
0.5657915,0.6822362,0.6938875,0.5963933,0.5605996,0.4812675,0.5454778,1
0.5657915,0.6822362,0.6938875,0.5963933,0.5605996,0.4812675,0.5454778,1
0.5657915,0.6822362,0.6268463,0.5963933,0.447155,0.4812675,0.429108,1
0.5657915,0.6822362,0.6938875,0.5963933,0.5605996,0.4812675,0.5454778,1
0.5657915,0.6822362,0.6938875,0.5963933,0.5605996,0.4812675,0.5454778,1
0.4539409,0.6111996,0.6268463,0.5963933,0.447155,0.4812675,0.4268773,2
0.4539409,0.6111996,0.6268463,0.5963933,0.447155,0.4812675,0.4268773,2
0.4539409,0.6111996,0.6268463,0.5963933,0.447155,0.4812675,0.4268773,2
0.4539409,0.6111996,0.6268463,0.5963933,0.447155,0.4812675,0.4268773,2
0.4539409,0.6111996,0.6268463,0.5963933,0.447155,0.4812675,0.4268773,2
0.4539409,0.6111996,0.6268463,0.5963933,0.447155,0.4812675,0.4294225,2
0.4539409,0.6111996,0.6268463,0.5963933,0.447155,0.4812675,0.4268773,2
0.4539409,0.6111996,0.6268463,0.5963933,0.447155,0.4812675,0.4271409,2
0.4539409,0.6111996,0.6268463,0.5963933,0.447155,0.4812675,0.4268773,2
0.4539409,0.6111996,0.6268463,0.5963933,0.447155,0.4812675,0.4268773,2
0.5657915,0.6822362,0.6268463,0.4954228,0.447155,0.4812675,0.4268773,3
0.5657915,0.6822362,0.6268463,0.4954228,0.447155,0.4812675,0.4268773,3
0.5657915,0.6822362,0.6268463,0.4954228,0.447155,0.4812675,0.4268773,3
0.5657915,0.6111996,0.6268463,0.4954228,0.447155,0.4812675,0.4268773,3
0.5657915,0.6822362,0.6268463,0.4954228,0.447155,0.4812675,0.4268773,3
0.5657915,0.6822362,0.6268463,0.4954228,0.447155,0.4812675,0.4268773,3
0.5657915,0.6822362,0.6268463,0.4954228,0.447155,0.4812675,0.4268773,3
0.5657915,0.6822362,0.6268463,0.4954228,0.447155,0.4812675,0.4268773,3
0.5657915,0.6822362,0.6268463,0.4954228,0.447155,0.4812675,0.4268773,3
0.5657915,0.6159081,0.6268463,0.4954228,0.447155,0.4812675,0.4268773,3
0.4539409,0.6111996,0.6268463,0.4954228,0.5605996,0.4812675,0.4268926,4
0.4539409,0.6111996,0.6268463,0.4954228,0.5605996,0.4812675,0.4277091,4
0.5657915,0.6111996,0.6268463,0.4954228,0.5605996,0.4812675,0.4277091,4
0.5657915,0.6111996,0.6268463,0.4954228,0.5605996,0.4812675,0.4277091,4
0.5657915,0.6111996,0.6268463,0.4954228,0.5605996,0.4812675,0.4277091,4
0.5657915,0.6111996,0.6268463,0.4954228,0.5605996,0.4812675,0.4268773,4
0.5657915,0.6111996,0.6268463,0.4954228,0.5605996,0.4812675,0.4277091,4
0.5657915,0.6111996,0.6268463,0.4954228,0.5605996,0.4812675,0.4268773,4
0.5657915,0.6111996,0.6268463,0.4954228,0.5605996,0.4812675,0.4277091,4
0.5657915,0.6111996,0.6268463,0.4954228,0.5605996,0.4812675,0.4268773,4
0.5657915,0.6111996,0.6268463,0.5963933,0.5605996,0.4812675,0.5454778,5
0.5657915,0.6111996,0.6268463,0.5963933,0.5422334,0.4812675,0.5454778,5
0.5657915,0.6111996,0.6268463,0.5963933,0.5289382,0.4812675,0.5454778,5
0.5657915,0.6111996,0.6268463,0.5963933,0.5422334,0.4812675,0.5454778,5
0.5657915,0.6111996,0.6268463,0.5963933,0.447155,0.4812675,0.5454778,5
0.5657915,0.6111996,0.6268463,0.5963933,0.447155,0.4812675,0.5454778,5
0.5657915,0.6111996,0.6268463,0.5963933,0.447155,0.4812675,0.5454778,5
0.5657915,0.6111996,0.6268463,0.5963933,0.447155,0.4812675,0.5454778,5
0.5657915,0.6111996,0.6268463,0.5963933,0.5412983,0.4812675,0.5454778,5
0.5657915,0.6111996,0.6268463,0.5963933,0.5422334,0.4812675,0.5454778,5
