sensor1,sensor2,sensor3,sensor4,label
0.3853598,0.6035008,0.5371056,0.5931426,0
0.3853598,0.6089042,0.6267802,0.5931426,0
0.3890908,0.5701327,0.5560139,0.5931426,0
0.5147114,0.6089042,0.5386521,0.5931426,0
0.3853598,0.6089042,0.6267802,0.5931426,0
0.5147114,0.6089042,0.5574024,0.5931426,0
0.3853598,0.6089042,0.5560139,0.5931426,0
0.3853598,0.6089042,0.5363135,0.5931426,0
0.3853598,0.512206,0.5363135,0.5931426,0
0.3853598,0.6089042,0.5386521,0.5931426,0
0.5147114,0.6089042,0.6267802,0.5931426,1
0.5147114,0.6089042,0.6267802,0.5931426,1
0.5147114,0.6089042,0.6267802,0.5931426,1
0.4795861,0.6089042,0.6267802,0.5931426,1
0.3865902,0.6089042,0.6267802,0.5931426,1
0.5147114,0.6089042,0.6267802,0.5931426,1
0.5147114,0.6089042,0.6267802,0.5931426,1
0.385648,0.6089042,0.6267802,0.5931426,1
0.5147114,0.6089042,0.6267802,0.5931426,1
0.5147114,0.6089042,0.6267802,0.5931426,1
0.4477092,0.512206,0.6267802,0.5931426,2
0.3853598,0.512206,0.5576017,0.5931426,2
0.3853598,0.512206,0.6267802,0.5931426,2
0.3853598,0.512206,0.6267802,0.5931426,2
0.3853598,0.512206,0.6267802,0.5931426,2
0.3853598,0.512206,0.6226746,0.5931426,2
0.4377052,0.512206,0.6267802,0.5931426,2
0.3853598,0.512206,0.5376698,0.5931426,2
0.4424584,0.512206,0.6267802,0.5931426,2
0.3853598,0.512206,0.5376698,0.5931426,2
0.3865842,0.6089042,0.5363135,0.4910322,3
0.3853598,0.6089042,0.5363135,0.4910322,3
0.4506798,0.6089042,0.5363135,0.5931426,3
0.3853598,0.6089042,0.5363135,0.4910322,3
0.3853598,0.6089042,0.5363135,0.5931426,3
0.3873681,0.6089042,0.5363135,0.5086259,3
0.3853598,0.6089042,0.5363135,0.4910322,3
0.4492376,0.6089042,0.5363135,0.5931426,3
0.3853598,0.6089042,0.5363135,0.5931426,3
0.3853598,0.6089042,0.5363135,0.4910322,3
0.5147114,0.6089042,0.5363135,0.5931426,4
0.5147114,0.6089042,0.5363135,0.5828449,4
0.5147114,0.6089042,0.5363135,0.541621,4
0.5147114,0.6089042,0.5363135,0.5870051,4
0.5147114,0.6089042,0.5363135,0.5870935,4
0.5147114,0.6089042,0.5363135,0.5870935,4
0.5147114,0.6089042,0.5363135,0.5828449,4
0.5147114,0.512206,0.5363135,0.5828449,4
0.5147114,0.6089042,0.5363135,0.5828449,4
0.5147114,0.6089042,0.5363135,0.5931426,4
0.3853598,0.512206,0.6267802,0.5931426,5
0.3853598,0.512206,0.6267802,0.4911501,5
0.3853598,0.512206,0.6267802,0.4910322,5
0.3853598,0.512206,0.6267802,0.5216146,5
0.3853598,0.512206,0.6267802,0.4911501,5
0.3853598,0.512206,0.6267802,0.5931426,5
0.3853598,0.512206,0.6267802,0.5014927,5
0.3853598,0.512206,0.6267802,0.5218261,5
0.3853598,0.512206,0.6267802,0.5486066,5
0.3853598,0.512206,0.6267802,0.5421663,5
