sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,label
0.5388713,0.616268,0.7137083,0.6048765,0.4591536,0.3814876,0.4024629,0.5014734,0
0.5388713,0.5221279,0.6535186,0.6048765,0.4591536,0.5030546,0.527529,0.4377133,0
0.5388713,0.616268,0.7137083,0.6048765,0.4591536,0.5119639,0.4380853,0.5014734,0
0.5388713,0.616268,0.7137083,0.6048765,0.4591536,0.5119639,0.527529,0.4239813,0
0.5388713,0.616268,0.7137083,0.6048765,0.4591536,0.3814876,0.4748901,0.5014734,0
0.5388713,0.616268,0.6535186,0.6048765,0.4472014,0.5119639,0.527529,0.4714662,0
0.5388713,0.616268,0.6551353,0.6048765,0.4591536,0.5119639,0.4990698,0.497633,0
0.5388713,0.616268,0.6545485,0.6048765,0.4591536,0.4164035,0.413496,0.367691,0
0.5388713,0.616268,0.6545485,0.6048765,0.4591536,0.3817956,0.4024629,0.367691,0
0.5388713,0.616268,0.6548869,0.6048765,0.4591536,0.5119639,0.4403217,0.367691,0
0.5388713,0.616268,0.7137083,0.6048765,0.4591536,0.5119639,0.527529,0.5014734,1
0.5388713,0.616268,0.7137083,0.6048765,0.4591536,0.5119639,0.527529,0.5014734,1
0.5388713,0.616268,0.7137083,0.6048765,0.4591536,0.5119639,0.527529,0.5014734,1
0.5388713,0.616268,0.7137083,0.6048765,0.4591536,0.5119639,0.527529,0.5014734,1
0.5388713,0.616268,0.7137083,0.6048765,0.4591536,0.5119639,0.527529,0.5014734,1
0.5388713,0.616268,0.7137083,0.6048765,0.4591536,0.5119639,0.527529,0.5014734,1
0.5388713,0.616268,0.7137083,0.6048765,0.4591536,0.5119639,0.527529,0.5014734,1
0.5388713,0.616268,0.7137083,0.6048765,0.4591536,0.5119639,0.527529,0.5014734,1
0.5388713,0.616268,0.7137083,0.6048765,0.4591536,0.5119639,0.527529,0.5014734,1
0.5388713,0.616268,0.7137083,0.6048765,0.4591536,0.5119639,0.527529,0.5014734,1
0.5388713,0.616268,0.7137083,0.6048765,0.3196646,0.3814876,0.527529,0.5014734,2
0.5388713,0.616268,0.7137083,0.6048765,0.4554408,0.3814876,0.4716234,0.5014734,2
0.5388713,0.616268,0.7137083,0.6048765,0.4281098,0.3814876,0.527529,0.5014734,2
0.5388713,0.616268,0.7137083,0.6048765,0.4591536,0.3814876,0.4716234,0.5014734,2
0.5388713,0.616268,0.7137083,0.6048765,0.4591536,0.3814876,0.527529,0.5014734,2
0.5388713,0.616268,0.7137083,0.6048765,0.4591536,0.3814876,0.527529,0.5014734,2
0.5388713,0.616268,0.7137083,0.6048765,0.4194028,0.3814876,0.527529,0.5014734,2
0.5388713,0.616268,0.7137083,0.6048765,0.4591536,0.3814876,0.527529,0.5014734,2
