sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9,label
0.4135653,0.4718879,0.5436695,0.6126798,0.6163405,0.6540462,0.5488108,0.4725766,0.4064867,0
0.2929606,0.328164,0.4242477,0.5174221,0.6163405,0.6540462,0.5488108,0.5794222,0.5106622,0
0.4135653,0.4718879,0.5436695,0.5360821,0.6163405,0.6540462,0.5494635,0.5794222,0.5106622,0
0.4135653,0.4718879,0.4242477,0.5174221,0.6163405,0.6540462,0.6359643,0.5794222,0.5106622,0
0.4135653,0.4718879,0.5436695,0.6126798,0.686139,0.6540462,0.6359643,0.4725766,0.3796209,0
0.4135653,0.4718879,0.4266046,0.6126798,0.6163405,0.6540462,0.6359643,0.5794222,0.4838275,0
0.4135653,0.4560053,0.4242477,0.5174221,0.6163405,0.6540462,0.5516239,0.5794222,0.5106622,0
0.4135653,0.4718879,0.5436695,0.5174221,0.6469595,0.6540462,0.5488108,0.5794222,0.5106622,0
0.4135653,0.4718879,0.5436695,0.5174221,0.6163405,0.6540462,0.5488108,0.5435334,0.5106622,0
0.4135653,0.4718879,0.4242477,0.5174221,0.6163405,0.6540462,0.5488108,0.5794222,0.5106622,0
0.4135653,0.4718879,0.5436695,0.6126798,0.686139,0.6540462,0.6359643,0.5794222,0.3796209,1
0.4135653,0.4718879,0.5436695,0.6126798,0.686139,0.7140808,0.6359643,0.5794222,0.5106622,1
0.4135653,0.4718879,0.5436695,0.6126798,0.686139,0.7140808,0.6359643,0.5794222,0.5106622,1
0.4135653,0.4718879,0.5436695,0.6126798,0.686139,0.7140808,0.6359643,0.5794222,0.5106317,1
0.4135653,0.4718879,0.5436695,0.6126798,0.686139,0.7140808,0.6359643,0.5794222,0.3796209,1
0.4135653,0.4718879,0.5436695,0.6126798,0.686139,0.7140808,0.6359643,0.5794222,0.5106622,1
0.4135653,0.4718879,0.5436695,0.6126798,0.686139,0.7140808,0.6359643,0.5794222,0.5106622,1
0.4135653,0.4718879,0.5436695,0.6126798,0.686139,0.7140808,0.6359643,0.5794222,0.4288777,1
0.4135653,0.4718879,0.5436695,0.6126798,0.686139,0.7140808,0.6359643,0.5794222,0.5106622,1
0.4135653,0.4718879,0.5436695,0.6126798,0.686139,0.7140808,0.6359643,0.5794222,0.5106622,1
0.4135653,0.4718879,0.4242477,0.6126798,0.686139,0.7140808,0.6359643,0.5794222,0.5106622,2
0.4135653,0.4718879,0.4242477,0.5174221,0.6163405,0.6540462,0.6359643,0.4771879,0.3796209,2
0.4135653,0.4373128,0.4242477,0.5174221,0.6163405,0.6540462,0.6359643,0.5794222,0.5106622,2
0.4135653,0.4718879,0.5436695,0.5174221,0.6163405,0.6540462,0.6359643,0.5052229,0.3796209,2
0.4135653,0.4718879,0.4242477,0.5174221,0.6163405,0.6540462,0.6359643,0.5794222,0.4085941,2
0.4135653,0.4718879,0.4242477,0.5174221,0.6163405,0.6540462,0.6359643,0.5794222,0.3796209,2
0.4135653,0.4718879,0.4242477,0.5174221,0.6163405,0.6540462,0.6359643,0.5784206,0.3796209,2
0.4135653,0.4718879,0.4242477,0.5174221,0.6163405,0.6540462,0.6359643,0.5461869,0.403601,2
0.4135653,0.4718879,0.4242477,0.5174221,0.6163405,0.6540462,0.6359643,0.5461869,0.3796209,2
0.4135653,0.4718879,0.4927653,0.5174221,0.6163405,0.6540462,0.5998081,0.4726618,0.3796209,2
0.4135653,0.4718879,0.5436695,0.6126798,0.686139,0.6540462,0.5488108,0.4725766,0.3807489,3
0.4135653,0.4718879,0.5436695,0.6126798,0.686139,0.6540462,0.5488108,0.4725766,0.4008662,3
0.4135653,0.4718879,0.5436695,0.6126798,0.686139,0.6540462,0.5488108,0.4725766,0.3796209,3
0.4135653,0.4718879,0.5436695,0.6126798,0.6163405,0.6540462,0.5488108,0.4725766,0.3796209,3
0.4135653,0.4718879,0.5436695,0.6126798,0.686139,0.6540462,0.5488108,0.4725766,0.3825142,3
0.4135653,0.4718879,0.5436695,0.6126798,0.686139,0.6540462,0.5488108,0.4725766,0.4567992,3
0.4135653,0.4718879,0.5436695,0.6126798,0.686139,0.6540462,0.5488108,0.4725766,0.3825142,3
0.4135653,0.4718879,0.5436695,0.6126798,0.686139,0.6540462,0.5488108,0.4725766,0.3825142,3
0.4135653,0.4718879,0.5436695,0.6126798,0.686139,0.6540462,0.5488108,0.4725766,0.3823333,3
