sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,label
0.5175872,0.5342135,0.5923596,0.5729816,0.495828,0.6240303,0
0.389214,0.6251293,0.5923596,0.6028531,0.495828,0.5326547,0
0.5175872,0.5342135,0.5923596,0.5153317,0.495828,0.6240303,0
0.5175872,0.5342135,0.5923596,0.5049771,0.495828,0.6240303,0
0.5175872,0.6250732,0.5923596,0.6028531,0.495828,0.6240303,0
0.5175872,0.5343101,0.5923596,0.5671736,0.495828,0.6240303,0
0.5175872,0.5393579,0.5923596,0.5049771,0.495828,0.6240303,0
0.5175872,0.5342135,0.5923596,0.5040562,0.495828,0.6240303,0
0.5175872,0.5342135,0.5923596,0.5040562,0.495828,0.6240303,0
0.5175872,0.5343101,0.5923596,0.5049771,0.495828,0.6240303,0
0.5175872,0.6251293,0.6299403,0.6028531,0.495828,0.6240303,1
0.5175872,0.6251293,0.6514124,0.6028531,0.495828,0.6240303,1
0.5175872,0.6251293,0.6682899,0.6028531,0.495828,0.6240303,1
0.5175872,0.6251293,0.5923596,0.6028531,0.495828,0.6240303,1
0.5175872,0.6251293,0.5923596,0.6028531,0.495828,0.6240303,1
0.5175872,0.6251293,0.6539221,0.6028531,0.495828,0.6240303,1
0.5175872,0.6251293,0.6625416,0.6028531,0.495828,0.6240303,1
0.5175872,0.6251293,0.5923596,0.6028531,0.495828,0.6240303,1
0.5175872,0.6251293,0.5924658,0.6028531,0.495828,0.6240303,1
0.5175872,0.6251293,0.6682899,0.6028531,0.495828,0.6240303,1
0.389214,0.5342135,0.5923596,0.6028531,0.495828,0.6240303,2
0.389214,0.5342135,0.5923596,0.6028531,0.495828,0.6240303,2
0.5175872,0.5342135,0.5923596,0.6028531,0.3962113,0.6240303,2
0.389214,0.5342135,0.5923596,0.6028531,0.495828,0.6240303,2
0.389214,0.5342135,0.5923596,0.6028531,0.495828,0.6240303,2
0.389214,0.5342135,0.5923596,0.6028531,0.495828,0.6240303,2
0.389214,0.5342135,0.5923596,0.6028531,0.495828,0.6240303,2
0.5175872,0.5342135,0.5923596,0.5726702,0.4613682,0.6240303,2
0.389214,0.5342135,0.5923596,0.6028531,0.495828,0.6240303,2
0.5175872,0.5342135,0.5923596,0.5546358,0.495828,0.6240303,2
0.5175872,0.6251293,0.5923596,0.5040562,0.495828,0.6240303,3
0.5175872,0.6234164,0.5923596,0.5040562,0.495828,0.5643407,3
0.5175872,0.6251293,0.5923596,0.5040562,0.495828,0.6240303,3
0.5175872,0.5342135,0.5923596,0.5040562,0.495828,0.5326547,3
0.5175872,0.6251293,0.5923596,0.5040562,0.495828,0.6240303,3
0.5175872,0.6251293,0.5923596,0.5040562,0.495828,0.6240303,3
0.5175872,0.6251293,0.5923596,0.5040562,0.495828,0.5905998,3
0.5175872,0.6251293,0.5923596,0.5040562,0.495828,0.6240303,3
0.5175872,0.6251293,0.5923596,0.5040562,0.495828,0.6240303,3
0.5175872,0.5578837,0.5923596,0.5040562,0.495828,0.5649504,3
0.463709,0.6251293,0.5923596,0.5040562,0.495828,0.5406397,4
0.389214,0.6251293,0.5923596,0.5040562,0.495828,0.535481,4
0.5175872,0.6251293,0.5923596,0.5040562,0.3996955,0.5406397,4
0.5175872,0.6251293,0.5923596,0.5040562,0.495828,0.563925,4
0.5175872,0.6251293,0.5923596,0.5040562,0.495828,0.563925,4
0.5175872,0.6251293,0.5923596,0.5040562,0.495828,0.5406397,4
0.5175872,0.6251293,0.5923596,0.5040562,0.495828,0.537775,4
0.5175872,0.6251293,0.5923596,0.5040562,0.495828,0.5326547,4
0.5175872,0.6251293,0.5923596,0.5040562,0.495828,0.5406397,4
0.5175872,0.6251293,0.5923596,0.5040562,0.495828,0.563925,4
0.5175872,0.5342135,0.5923596,0.6028531,0.495828,0.5326547,5
0.5175872,0.5342135,0.5923596,0.6028531,0.495828,0.5326547,5
0.5175872,0.5342135,0.5923596,0.6028531,0.495828,0.5326547,5
0.5175872,0.5342135,0.5923596,0.6028531,0.495828,0.5326547,5
0.5175872,0.5342135,0.5923596,0.6028531,0.495828,0.5326547,5
0.5175872,0.5342135,0.5923596,0.6028531,0.495828,0.5326547,5
0.5175872,0.5342135,0.5923596,0.6028531,0.495828,0.5326547,5
0.5175872,0.5342135,0.5923596,0.6028531,0.495828,0.5326547,5
0.5175872,0.5342135,0.5923596,0.6028531,0.495828,0.5326547,5
0.5175872,0.5342135,0.5923596,0.6028531,0.495828,0.5326547,5
