sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9,sensor10,sensor11,label
0.5208447,0.6298249,0.625106,0.625376,0.5496351,0.4818055,0.4415442,0.4884975,0.3953179,0.5750058,0.4720133,0
0.5208447,0.6298249,0.625106,0.5501156,0.5496351,0.3415002,0.5564915,0.4884975,0.3953179,0.5750058,0.4720133,0
0.5208447,0.6238572,0.625106,0.625376,0.5496351,0.4818055,0.4415442,0.4884975,0.5222488,0.5750058,0.4720133,0
0.5208447,0.6298249,0.625106,0.625376,0.5496351,0.4818055,0.4415442,0.4884975,0.3953179,0.5750058,0.4720133,0
0.5208447,0.6298249,0.625106,0.625376,0.5496351,0.4818055,0.4415442,0.4884975,0.395321,0.5750058,0.4720133,0
0.5208447,0.6298249,0.625106,0.625376,0.5496351,0.4818055,0.4415442,0.4884975,0.3974521,0.5750058,0.4720133,0
0.5208447,0.6298249,0.625106,0.625376,0.5496351,0.4818055,0.4415442,0.4884975,0.395321,0.5750058,0.4720133,0
0.5208447,0.6298249,0.625106,0.5347869,0.5496351,0.4818055,0.4415442,0.4884975,0.5222488,0.5750058,0.4720133,0
0.5208447,0.5404482,0.625106,0.5345757,0.5496351,0.4818055,0.4415442,0.4884975,0.4142371,0.5750058,0.4720133,0
0.5208447,0.6298249,0.625106,0.625376,0.5496351,0.4818055,0.4415442,0.4884975,0.395321,0.5750058,0.4720133,0
0.5208447,0.6298249,0.6925728,0.625376,0.5496351,0.4818055,0.5564915,0.4884975,0.5222488,0.5750058,0.4720133,1
0.5208447,0.6298249,0.6925728,0.625376,0.5496351,0.4818055,0.5564915,0.4884975,0.5222488,0.5750058,0.4720133,1
0.5208447,0.6298249,0.6925728,0.625376,0.5496351,0.4818055,0.5564915,0.4884975,0.5222488,0.5750058,0.4720133,1
0.5208447,0.6298249,0.6356219,0.625376,0.5496351,0.4818055,0.5564915,0.4912999,0.5222488,0.5750058,0.4720133,1
0.5208447,0.6298249,0.625106,0.625376,0.5496351,0.4818055,0.5564915,0.4884975,0.5222488,0.5750058,0.4720133,1
0.5208447,0.6298249,0.6925728,0.625376,0.5496351,0.4818055,0.5564915,0.4884975,0.5222488,0.5750058,0.4720133,1
0.5208447,0.6298249,0.6925728,0.625376,0.5496351,0.4818055,0.5564915,0.4898262,0.5222488,0.5750058,0.4720133,1
0.5208447,0.6298249,0.6925728,0.625376,0.5496351,0.4818055,0.5564915,0.4884975,0.5222488,0.5750058,0.4720133,1
0.5208447,0.6298249,0.6925728,0.625376,0.5496351,0.4818055,0.5564915,0.4884975,0.5222488,0.5750058,0.4720133,1
0.5208447,0.6298249,0.6925728,0.625376,0.5496351,0.4818055,0.5564915,0.4937404,0.5222488,0.5750058,0.4720133,1
0.3934155,0.5404482,0.625106,0.625376,0.5496351,0.4818055,0.4415442,0.4884975,0.5222488,0.5750058,0.4720133,2
0.3934155,0.5404482,0.625106,0.625376,0.5496351,0.4818055,0.4415442,0.4884975,0.5222488,0.5750058,0.4720133,2
0.5208447,0.5404482,0.625106,0.625376,0.5496351,0.4818055,0.4415442,0.4884975,0.5222488,0.5750058,0.4720133,2
0.3934155,0.5404482,0.625106,0.625376,0.5496351,0.4818055,0.4415442,0.4884975,0.5222488,0.5750058,0.4720133,2
0.3934155,0.5404482,0.625106,0.625376,0.5496351,0.4818055,0.4415442,0.4884975,0.5222488,0.5750058,0.4720133,2
0.3934155,0.5404482,0.625106,0.625376,0.5496351,0.4818055,0.4415442,0.4884975,0.5222488,0.5750058,0.4720133,2
0.3934155,0.5404482,0.625106,0.625376,0.5496351,0.4818055,0.4415442,0.4884975,0.5222488,0.5750058,0.4720133,2
0.5208447,0.5404482,0.625106,0.625376,0.5496351,0.4818055,0.4415442,0.4884975,0.5222488,0.5750058,0.4720133,2
0.3934155,0.5404482,0.625106,0.625376,0.5496351,0.4818055,0.4415442,0.4884975,0.5222488,0.5750058,0.4720133,2
0.5177996,0.5404482,0.625106,0.625376,0.5496351,0.4818055,0.4415442,0.4884975,0.5222488,0.5750058,0.4720133,2
0.5208447,0.6298249,0.625106,0.5345757,0.4323077,0.4818055,0.5564915,0.4884975,0.3953179,0.5750058,0.4720133,3
0.5208447,0.6298249,0.625106,0.5345757,0.4349325,0.4818055,0.4745538,0.4884975,0.3953179,0.552638,0.4720133,3
0.5208447,0.6298249,0.625106,0.5345757,0.4323077,0.4818055,0.5564915,0.4884975,0.3953179,0.5750058,0.4720133,3
