sensor1,sensor2,sensor3,sensor4,sensor5,label
0.6561486,0.5935437,0.5482445,0.5408247,0.706473,0
0.6561486,0.5935437,0.6355443,0.6300711,0.706473,0
0.6561486,0.5935437,0.5482445,0.5408247,0.706473,0
0.6561486,0.5935437,0.5484007,0.5408247,0.706473,0
0.6561486,0.5935437,0.6355443,0.6300711,0.706473,0
0.6561486,0.5935437,0.5508065,0.5408247,0.706473,0
0.6561486,0.5935437,0.5815933,0.5408247,0.706473,0
0.6561486,0.5935437,0.5482445,0.5408247,0.706473,0
0.6561486,0.5935437,0.5482445,0.5408247,0.6816715,0
0.6561486,0.5935437,0.5484007,0.5408247,0.706473,0
0.6561486,0.5935437,0.6355443,0.6300711,0.706473,1
0.6561486,0.5935437,0.6355443,0.6300711,0.706473,1
0.6561486,0.5935437,0.6355443,0.6300711,0.706473,1
0.6561486,0.5935437,0.6355443,0.6300711,0.706473,1
0.6561486,0.5935437,0.6355443,0.6300711,0.706473,1
0.6561486,0.5935437,0.6355443,0.6300711,0.706473,1
0.6561486,0.5935437,0.6355443,0.6300711,0.706473,1
0.6561486,0.5935437,0.6355443,0.6300711,0.706473,1
0.6561486,0.5935437,0.6355443,0.6300711,0.706473,1
0.6561486,0.5935437,0.6355443,0.6300711,0.706473,1
0.5759147,0.5935437,0.5482445,0.5417206,0.706473,2
0.5759147,0.5935437,0.5482445,0.5408247,0.706473,2
0.5759147,0.5935437,0.5482445,0.5408679,0.706473,2
0.5759147,0.5935437,0.5482445,0.5408679,0.706473,2
0.5759147,0.5935437,0.5482445,0.5408679,0.706473,2
0.5759147,0.5935437,0.5482445,0.5408247,0.706473,2
0.5759147,0.5935437,0.5482445,0.5408679,0.706473,2
0.5759147,0.5935437,0.5482445,0.5408247,0.706473,2
0.5759147,0.5935437,0.5482445,0.5408679,0.706473,2
0.5759147,0.5935437,0.5482445,0.5408247,0.706473,2
0.6561486,0.5935437,0.6355443,0.5408247,0.706473,3
0.6561486,0.5934573,0.6118692,0.5408247,0.706473,3
0.6561486,0.5935437,0.6355443,0.5408247,0.706473,3
0.6561486,0.4915696,0.5482445,0.5408247,0.706473,3
0.6561486,0.5935437,0.6355443,0.5408247,0.706473,3
0.6561486,0.5935437,0.6355443,0.5408247,0.706473,3
0.6561486,0.5935437,0.6355443,0.5408247,0.706473,3
0.6561486,0.5935437,0.6355443,0.5408247,0.706473,3
0.6561486,0.5935437,0.6355443,0.5408247,0.706473,3
0.6561486,0.5935437,0.5547789,0.5408247,0.706473,3
0.5759147,0.5935437,0.6355443,0.5408247,0.6442214,4
0.5759147,0.5935437,0.6355443,0.5408247,0.6442214,4
0.5759147,0.5935437,0.6355443,0.5408247,0.6438295,4
0.5761411,0.5935437,0.6355443,0.5408247,0.6438295,4
0.5761411,0.5935437,0.6355443,0.5408247,0.6442214,4
0.5761411,0.5935437,0.6355443,0.5408247,0.6442214,4
0.5761411,0.5935437,0.6355443,0.5408247,0.6471476,4
0.5759147,0.5935437,0.6355443,0.5408247,0.6502526,4
0.5761411,0.5935437,0.6355443,0.5408247,0.6442214,4
0.5759147,0.5935437,0.6355443,0.5408247,0.6442214,4
0.5759147,0.4915696,0.5482445,0.5447659,0.706473,5
0.5759147,0.4915696,0.5482445,0.5638518,0.706473,5
0.5759147,0.4915696,0.5482445,0.6300297,0.706473,5
0.5759147,0.4915696,0.5482445,0.5877072,0.706473,5
0.5759147,0.4915696,0.5482445,0.5447659,0.706473,5
0.5759147,0.4915696,0.5482445,0.5776838,0.706473,5
0.5759147,0.4915696,0.5482445,0.578567,0.706473,5
0.5759147,0.4915696,0.5482445,0.5638518,0.706473,5
0.5759147,0.4915696,0.5482445,0.578567,0.706473,5
0.5759147,0.4915696,0.5482445,0.5638518,0.706473,5
