gen,nevals,avg1,avg2,std1,std2,min1,min2,max1,max2
0,20,0.5817,4.9,0.12772865770844063,1.3000000000000003,0.333,3.0,0.767,8.0
1,12,0.70245,5.95,0.08107371645607471,1.4309088021254186,0.45,3.0,0.767,10.0
2,13,0.7375,6.15,0.031988279103446635,1.3143439428094916,0.617,5.0,0.767,10.0
3,12,0.7601999999999999,6.75,0.009912618221237018,1.0897247358851685,0.733,5.0,0.767,8.0
4,10,0.7669499999999998,7.0,0.005219913792391597,0.9486832980505138,0.75,5.0,0.783,9.0
5,10,0.7677499999999998,6.6,0.006283908019696029,0.8602325267042626,0.75,5.0,0.783,9.0
6,12,0.7641499999999999,6.55,0.054363843683095096,0.9733961166965893,0.533,5.0,0.8,8.0
7,20,0.7791499999999998,6.1,0.011442355526726143,1.090871211463572,0.767,5.0,0.8,9.0
8,9,0.7865,5.95,0.01249599935979513,1.023474474522936,0.75,5.0,0.8,8.0
9,14,0.7749500000000001,6.25,0.03921157354659465,0.9937303457175896,0.65,4.0,0.8,8.0
10,8,0.7874000000000002,6.8,0.036165453128642,0.6,0.633,5.0,0.8,8.0
11,11,0.7950000000000003,7.0,0.010620734437881413,0.7071067811865476,0.767,5.0,0.8,9.0
12,10,0.7808500000000003,6.7,0.05400580987264243,0.714142842854285,0.567,4.0,0.8,7.0
13,12,0.7800000000000002,6.9,0.0654896938456732,0.4358898943540672,0.517,5.0,0.8,7.0
14,11,0.7908500000000004,7.0,0.033101774876885384,0.31622776601683794,0.65,6.0,0.8,8.0
15,8,0.7975000000000003,7.0,0.010897247358851685,0.0,0.75,7.0,0.8,7.0
16,10,0.7925000000000002,6.9,0.03269174207655505,0.4358898943540672,0.65,5.0,0.8,7.0
17,13,0.7991500000000002,6.95,0.0037050641020095762,0.21794494717703364,0.783,6.0,0.8,7.0
18,15,0.7983000000000002,7.1,0.005100000000000003,0.30000000000000004,0.783,7.0,0.8,8.0
19,9,0.7933500000000002,6.95,0.028986677974545474,0.21794494717703364,0.667,6.0,0.8,7.0
20,16,0.7750000000000001,6.85,0.05556797638928379,0.4769696007084727,0.617,6.0,0.8,8.0
