sensor1,sensor2,sensor3,label
0.5134148,0.5617613,0.6296015,0
0.3834932,0.5617613,0.5401655,0
0.4914772,0.5617613,0.5406449,0
0.4525442,0.5617613,0.5401655,0
0.5134148,0.5617613,0.5406449,0
0.3942911,0.5617613,0.6296015,0
0.5134148,0.5617613,0.5405183,0
0.5134148,0.5617613,0.5739332,0
0.5134148,0.5617613,0.5801095,0
0.5134148,0.5617613,0.5401655,0
0.5134148,0.5617613,0.6296015,1
0.5134148,0.5632614,0.6296015,1
0.5134148,0.6456582,0.6296015,1
0.5134148,0.5617613,0.6296015,1
0.5134148,0.5617613,0.6296015,1
0.5134148,0.5618756,0.6296015,1
0.5134148,0.6456582,0.6296015,1
0.5134148,0.6456582,0.6296015,1
0.5134148,0.5686039,0.6296015,1
0.5134148,0.6456582,0.6296015,1
0.3833267,0.5617613,0.6296015,2
0.3833267,0.5617613,0.6296015,2
0.3833267,0.5617613,0.6296015,2
0.3841212,0.5617613,0.6296015,2
0.3833267,0.5617613,0.6296015,2
0.3833267,0.5617613,0.6296015,2
0.3833267,0.5617613,0.6296015,2
0.3901908,0.5617613,0.6296015,2
0.3833267,0.5617613,0.6296015,2
0.4334304,0.5617613,0.6296015,2
0.5134148,0.5617613,0.5401655,3
0.5134148,0.5617613,0.5401655,3
0.5134148,0.5617613,0.5401655,3
0.5134148,0.5617613,0.5401655,3
0.5134148,0.5617613,0.5401655,3
0.5134148,0.5617613,0.5401655,3
0.5134148,0.5617613,0.5401655,3
0.5134148,0.5617613,0.5401655,3
0.5134148,0.5617613,0.5401655,3
0.5134148,0.5617613,0.5401655,3
0.5134148,0.5617613,0.5401655,4
0.5134148,0.5617613,0.5401655,4
0.5134148,0.5617613,0.5401655,4
0.5134148,0.5617613,0.5401655,4
0.5134148,0.5617613,0.5401655,4
0.5134148,0.5617613,0.5401655,4
0.5134148,0.5617613,0.5401655,4
0.3833267,0.5617613,0.5401655,4
0.5134148,0.5617613,0.5401655,4
0.5134148,0.5617613,0.5401655,4
0.5134148,0.5617613,0.6153508,5
0.5134148,0.5617613,0.5515346,5
0.5134148,0.5617613,0.5515346,5
0.5134148,0.5617613,0.5537753,5
0.5134148,0.5617613,0.5505554,5
0.5134148,0.5617613,0.6191399,5
0.5134148,0.5617613,0.6191399,5
0.5134148,0.5617613,0.5919291,5
0.5134148,0.5617613,0.581077,5
0.5134148,0.5617613,0.5515346,5
