sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9,sensor10,sensor11,sensor12,time
0.6285489,0.6563773,0.6530342,0.6204446,0.5663875,0.4815182,0.4758098,0.5609069,0.5069434,0.4397562,0.423304,0.5008132,0.3733333
0.6285489,0.6563773,0.6530342,0.6204446,0.5663875,0.4815182,0.4758098,0.5609069,0.5069434,0.4390644,0.423304,0.5008132,0.500414
0.6285489,0.6563773,0.6530342,0.6204446,0.5663875,0.4815182,0.4758098,0.5609069,0.5069434,0.4390644,0.423304,0.5008132,0.6005974
0.6285489,0.6563773,0.6530342,0.6204446,0.5663875,0.4815182,0.4758098,0.5609069,0.5069434,0.4390644,0.423304,0.5008132,0.7005925
0.6285489,0.6563773,0.6530342,0.6204446,0.5663875,0.4815182,0.4758098,0.5609069,0.5069434,0.4390644,0.423304,0.5008132,0.8005918
0.6285489,0.6563773,0.6530342,0.6204446,0.5663875,0.4816192,0.4758098,0.5609069,0.5069434,0.4458333,0.423304,0.5008132,0.9012354
0.6285489,0.6563773,0.6530342,0.6204446,0.5663875,0.4816192,0.4758098,0.5609069,0.5069434,0.4458333,0.423304,0.5008132,1.001445
0.6285489,0.6563773,0.6530342,0.6204446,0.5663875,0.4816192,0.4758098,0.5609069,0.5069434,0.4458333,0.4226182,0.5008132,1.101526
0.6285489,0.6563773,0.6530342,0.6204446,0.5663875,0.4816192,0.4758098,0.5609069,0.5069434,0.4458333,0.4226182,0.5008132,1.201528
0.6285489,0.6563773,0.6530342,0.6204446,0.5663875,0.4878701,0.4759199,0.5609069,0.5069434,0.4465305,0.4226182,0.5008132,1.301529
0.6285489,0.6563773,0.6530342,0.6204446,0.5663875,0.5401342,0.4759292,0.5609069,0.5069434,0.4397562,0.423304,0.5008132,1.401526
0.6285489,0.6563773,0.6530342,0.6204446,0.5663875,0.5504953,0.5123313,0.5609069,0.5069434,0.4447742,0.3898417,0.5008132,1.501532
0.6285489,0.6563773,0.6530342,0.6204446,0.5663875,0.5837117,0.5818953,0.5609069,0.5069434,0.4465305,0.3890781,0.5008132,1.601576
0.6285489,0.6563773,0.6530342,0.6204446,0.5663875,0.5837117,0.5818953,0.5609069,0.5069434,0.5183116,0.3936064,0.5008132,1.70173
0.6285489,0.6563773,0.6530342,0.6204446,0.5663875,0.5837117,0.5818953,0.5609069,0.5069434,0.5183116,0.5174513,0.5008132,1.80174
0.6285489,0.6563773,0.6530342,0.6204446,0.5663875,0.5837117,0.5818953,0.5609069,0.5069434,0.5183116,0.5174513,0.5008132,1.964378
0.6285489,0.6563773,0.6530342,0.6204446,0.5663875,0.5837117,0.5818953,0.5609069,0.5069434,0.5183116,0.5174513,0.5008132,2.099642
0.6285489,0.6563773,0.6530342,0.6204446,0.5663875,0.5837117,0.5818953,0.5609069,0.5069434,0.5183116,0.5174513,0.5008132,2.199648
0.6285489,0.6563773,0.6530342,0.6204446,0.5663875,0.5837117,0.5818953,0.5609069,0.5069434,0.5183116,0.5174513,0.5008132,2.34065
0.6285489,0.6563773,0.6530342,0.6204446,0.5663875,0.4878701,0.5280105,0.5609069,0.5069434,0.4114915,0.423304,0.5008132,2.471394
0.6285489,0.5776579,0.6530342,0.6204446,0.4718629,0.4786433,0.4758098,0.4647994,0.3749748,0.3899824,0.3890781,0.3686866,2.571979
0.6285489,0.5765583,0.5756681,0.6204446,0.4549735,0.4782891,0.4758098,0.4476366,0.4112152,0.3899824,0.3890781,0.4552541,2.693218
0.6285489,0.5836101,0.6074579,0.6204446,0.4549735,0.4782891,0.4758098,0.4476366,0.379465,0.3899824,0.3890781,0.4237717,2.852371
0.6285489,0.6563773,0.6530342,0.6204446,0.5663875,0.4815182,0.5182338,0.5609069,0.5069434,0.4390644,0.4711653,0.5008132,3.00152
0.6285489,0.6563773,0.6530342,0.6204446,0.5663875,0.5837117,0.5818953,0.5609069,0.5069434,0.3931999,0.4278234,0.5008132,3.12674
0.6285489,0.6563773,0.6530342,0.6204446,0.5663875,0.5837117,0.5818953,0.5609069,0.5069434,0.3921967,0.4137329,0.5008132,3.250036
0.6285489,0.6563773,0.6530342,0.6204446,0.5663875,0.4816192,0.4759356,0.5609069,0.5069434,0.4397562,0.423304,0.5008132,3.369697
0.6285489,0.6563773,0.6530342,0.6204446,0.5663875,0.4815182,0.4759356,0.5609069,0.5069434,0.4458333,0.4271484,0.5008132,3.496234
